mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20556,,"{'UNE': 54, 'AZUL': 5, 'VALOR UNIONISTA': 7, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 5, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 12, 'VOS': 0}",14,66,216,0,Algún campo sin dato,17.Petén,5.La Libertad,3202,presidente
20557,,"{'UNE': 55, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 13, 'VOS': 4}",14,80,228,0,Algún campo sin dato,17.Petén,5.La Libertad,3202,presidente
20558,,"{'UNE': 47, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 20, 'VOS': 2}",19,79,235,2,Algún campo sin dato,17.Petén,5.La Libertad,3202,presidente
20559,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 14, 'CREO': 1, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 18, 'VOS': 5}",25,71,245,0,,17.Petén,5.La Libertad,3202,presidente
20560,,"{'UNE': 48, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 13, 'VOS': 4}",21,93,243,6,Algún campo sin dato,17.Petén,5.La Libertad,3202,presidente
20561,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 18, 'VOS': 3}",20,102,253,0,Algún campo sin dato,17.Petén,5.La Libertad,3202,presidente
20562,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 18, 'VOS': 3}",31,80,249,0,Algún campo sin dato,17.Petén,5.La Libertad,3202,presidente
20563,,"{'UNE': 53, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 11, 'VOS': 2}",20,87,249,0,Algún campo sin dato,17.Petén,5.La Libertad,3202,presidente
20564,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 9, 'TODOS': 2, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 6, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 16, 'VOS': 3}",21,81,259,0,Algún campo sin dato,17.Petén,5.La Libertad,3202,presidente
20565,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 5, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 19, 'VOS': 5}",14,67,220,0,Algún campo sin dato,17.Petén,5.La Libertad,3202,presidente
