mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20667,,"{'UNE': 53, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 45, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 3, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",52,60,277,0,Algún campo sin dato,17.Petén,6.San Francisco,3211,presidente
20668,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 41, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 5, 'VOS': 8}",27,68,263,0,Algún campo sin dato,17.Petén,6.San Francisco,3211,presidente
20669,,"{'UNE': 79, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 38, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 4, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 12, 'VOS': 6}",37,59,287,0,Algún campo sin dato,17.Petén,6.San Francisco,3211,presidente
20670,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 48, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 6, 'VOS': 6}",29,80,295,0,Algún campo sin dato,17.Petén,6.San Francisco,3211,presidente
20671,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 7}",43,82,290,0,Algún campo sin dato,17.Petén,6.San Francisco,3211,presidente
20672,,"{'UNE': 61, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 12}",32,53,233,0,Algún campo sin dato,17.Petén,6.San Francisco,3212,presidente
20673,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 4, 'VOS': 4}",28,54,242,0,Sumas Asentadas sin cuadrar,17.Petén,6.San Francisco,3212,presidente
20674,,"{'UNE': 54, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 9}",16,66,241,0,Algún campo sin dato,17.Petén,6.San Francisco,3212,presidente
20675,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 43, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",20,61,221,0,Algún campo sin dato,17.Petén,6.San Francisco,3213,presidente
20676,,"{'UNE': 50, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 5, 'VOS': 3}",29,61,215,0,Algún campo sin dato,17.Petén,6.San Francisco,3213,presidente
