mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20745,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 71, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 34, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",33,55,254,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
20746,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 79, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",22,66,258,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
20747,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 76, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",27,81,277,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
20748,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 81, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 2}",28,76,287,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
20749,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 72, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",32,73,273,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
20750,,"{'UNE': 45, 'AZUL': 0, 'VALOR UNIONISTA': 70, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 45, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 0, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",23,58,285,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
20751,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 82, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 52, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 6}",26,52,307,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
20752,,"{'UNE': 24, 'AZUL': 0, 'VALOR UNIONISTA': 63, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 34, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",10,55,224,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
20753,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 78, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 38, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",15,43,245,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
20754,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 56, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",21,62,230,0,Algún campo sin dato,17.Petén,8.Dolores,3228,presidente
