mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
20789,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 6, 'VIVA': 56, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 2}",20,67,241,0,Algún campo sin dato,17.Petén,9.San Luis,3233,presidente
20790,,"{'UNE': 34, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 36, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 42, 'MI FAMILIA': 1, 'CAMBIO': 8, 'VOS': 1}",20,68,260,0,Algún campo sin dato,17.Petén,9.San Luis,3233,presidente
20791,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 2, 'VIVA': 46, 'MI FAMILIA': 0, 'CAMBIO': 6, 'VOS': 5}",13,84,251,0,Algún campo sin dato,17.Petén,9.San Luis,3233,presidente
20792,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 58, 'MI FAMILIA': 1, 'CAMBIO': 9, 'VOS': 4}",18,101,258,0,Algún campo sin dato,17.Petén,9.San Luis,3233,presidente
20793,,"{'UNE': 29, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 49, 'MI FAMILIA': 2, 'CAMBIO': 11, 'VOS': 3}",23,75,273,0,Algún campo sin dato,17.Petén,9.San Luis,3233,presidente
20794,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 52, 'MI FAMILIA': 0, 'CAMBIO': 9, 'VOS': 3}",9,93,244,0,Algún campo sin dato,17.Petén,9.San Luis,3233,presidente
20795,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 44, 'MI FAMILIA': 0, 'CAMBIO': 8, 'VOS': 5}",9,91,222,0,Algún campo sin dato,17.Petén,9.San Luis,3233,presidente
20796,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 7, 'VOS': 4}",5,94,210,0,Algún campo sin dato,17.Petén,9.San Luis,3233,presidente
20797,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 44, 'MI FAMILIA': 0, 'CAMBIO': 10, 'VOS': 2}",11,81,226,0,Algún campo sin dato,17.Petén,9.San Luis,3233,presidente
20798,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 44, 'MI FAMILIA': 0, 'CAMBIO': 10, 'VOS': 6}",11,65,218,6,Algún campo sin dato,17.Petén,9.San Luis,3234,presidente
