mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
21397,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 29, 'TODOS': 4, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 4}",15,86,233,0,Algún campo sin dato,18.Izabal,2.Lívingston,3321,presidente
21398,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 29, 'TODOS': 2, 'VAMOS': 7, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 3}",16,83,215,0,Algún campo sin dato,18.Izabal,2.Lívingston,3321,presidente
21399,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",7,48,127,0,Algún campo sin dato,18.Izabal,2.Lívingston,3321,presidente
21400,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",7,34,109,0,Sumas Asentadas sin cuadrar,18.Izabal,2.Lívingston,3321,presidente
21401,,"{'UNE': 40, 'AZUL': 3, 'VALOR UNIONISTA': 22, 'CABAL': 35, 'TODOS': 4, 'VAMOS': 18, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 1, 'CAMBIO': 8, 'VOS': 6}",14,51,229,0,Algún campo sin dato,18.Izabal,2.Lívingston,3322,presidente
21402,,"{'UNE': 37, 'AZUL': 6, 'VALOR UNIONISTA': 20, 'CABAL': 26, 'TODOS': 5, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 12, 'VOS': 4}",19,38,213,0,Algún campo sin dato,18.Izabal,2.Lívingston,3322,presidente
21403,,"{'UNE': 47, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 24, 'TODOS': 12, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 25, 'VOS': 4}",32,49,260,0,Algún campo sin dato,18.Izabal,2.Lívingston,3322,presidente
21404,,"{'UNE': 47, 'AZUL': 5, 'VALOR UNIONISTA': 35, 'CABAL': 31, 'TODOS': 7, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 8, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 14, 'VOS': 2}",19,46,272,0,Algún campo sin dato,18.Izabal,2.Lívingston,3322,presidente
21405,,"{'UNE': 55, 'AZUL': 5, 'VALOR UNIONISTA': 12, 'CABAL': 24, 'TODOS': 15, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 5, 'CREO': 7, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 15, 'VOS': 6}",21,62,280,0,Algún campo sin dato,18.Izabal,2.Lívingston,3322,presidente
21406,,"{'UNE': 44, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 4, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 13, 'VOS': 4}",19,55,238,0,Algún campo sin dato,18.Izabal,2.Lívingston,3322,presidente
