mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
21525,,"{'UNE': 100, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 3, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",6,72,271,0,,18.Izabal,3.El Estor,3343,presidente
21526,,"{'UNE': 87, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 21, 'TODOS': 3, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",9,84,259,0,Algún campo sin dato,18.Izabal,3.El Estor,3343,presidente
21527,,"{'UNE': 84, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 12, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",12,72,257,0,Algún campo sin dato,18.Izabal,3.El Estor,3343,presidente
21528,,"{'UNE': 86, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 23, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 0, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 9}",8,75,279,1,Algún campo sin dato,18.Izabal,3.El Estor,3343,presidente
21529,,"{'UNE': 89, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 23, 'TODOS': 3, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 0, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",6,87,276,0,Algún campo sin dato,18.Izabal,3.El Estor,3343,presidente
21530,,"{'UNE': 116, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 34, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",8,74,295,0,Algún campo sin dato,18.Izabal,3.El Estor,3343,presidente
21531,,"{'UNE': 120, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 29, 'TODOS': 5, 'VAMOS': 32, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",7,75,297,0,Algún campo sin dato,18.Izabal,3.El Estor,3343,presidente
21532,,"{'UNE': 70, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 16, 'TODOS': 5, 'VAMOS': 25, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",6,83,254,0,Algún campo sin dato,18.Izabal,3.El Estor,3343,presidente
21533,,"{'UNE': 79, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 16, 'TODOS': 3, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",2,78,238,0,,18.Izabal,3.El Estor,3343,presidente
21534,,"{'UNE': 86, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 26, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 4, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",10,69,255,0,Algún campo sin dato,18.Izabal,3.El Estor,3343,presidente
