mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
21631,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 4, 'TODOS': 6, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 6, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 13}",8,93,268,0,,18.Izabal,4.Morales,3357,presidente
21632,,"{'UNE': 47, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 7, 'TODOS': 4, 'VAMOS': 18, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 8, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",6,96,262,0,Algún campo sin dato,18.Izabal,4.Morales,3357,presidente
21633,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 5, 'TODOS': 5, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",11,81,252,0,Algún campo sin dato,18.Izabal,4.Morales,3357,presidente
21634,,"{'UNE': 39, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 4, 'TODOS': 8, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 8, 'VIVA': 32, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 7}",9,82,271,0,Algún campo sin dato,18.Izabal,4.Morales,3357,presidente
21635,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 8, 'TODOS': 3, 'VAMOS': 23, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 12, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",5,87,259,1,Algún campo sin dato,18.Izabal,4.Morales,3357,presidente
21636,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 9, 'TODOS': 6, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 10, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",8,86,266,1,Algún campo sin dato,18.Izabal,4.Morales,3357,presidente
21637,,"{'UNE': 47, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 3, 'TODOS': 10, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 15, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",8,95,297,0,Algún campo sin dato,18.Izabal,4.Morales,3357,presidente
21638,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 6, 'TODOS': 4, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 14, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",6,85,275,0,Algún campo sin dato,18.Izabal,4.Morales,3357,presidente
21639,,"{'UNE': 37, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 9, 'TODOS': 3, 'VAMOS': 42, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 14, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",7,82,287,0,Algún campo sin dato,18.Izabal,4.Morales,3357,presidente
21640,,"{'UNE': 48, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 4, 'TODOS': 5, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 13, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 17}",6,76,275,0,Algún campo sin dato,18.Izabal,4.Morales,3357,presidente
