mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
21890,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 28, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 12, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 9}",9,54,238,0,Algún campo sin dato,19.Zacapa,1.Zacapa,3393,presidente
21891,,"{'UNE': 24, 'AZUL': 7, 'VALOR UNIONISTA': 31, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 10, 'VIVA': 24, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 16}",5,66,267,0,,19.Zacapa,1.Zacapa,3393,presidente
21892,,"{'UNE': 25, 'AZUL': 7, 'VALOR UNIONISTA': 51, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 10, 'VIVA': 22, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",8,62,266,0,Algún campo sin dato,19.Zacapa,1.Zacapa,3393,presidente
21893,,"{'UNE': 17, 'AZUL': 5, 'VALOR UNIONISTA': 27, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 40, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 15, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 12}",2,61,236,0,Algún campo sin dato,19.Zacapa,1.Zacapa,3393,presidente
21894,,"{'UNE': 26, 'AZUL': 3, 'VALOR UNIONISTA': 34, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 13, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 33, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 14}",5,51,240,0,Algún campo sin dato,19.Zacapa,1.Zacapa,3393,presidente
21895,,"{'UNE': 25, 'AZUL': 9, 'VALOR UNIONISTA': 29, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 12, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 21}",6,52,231,0,Algún campo sin dato,19.Zacapa,1.Zacapa,3393,presidente
21896,,"{'UNE': 19, 'AZUL': 5, 'VALOR UNIONISTA': 42, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 49, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 14, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",6,54,250,0,Sumas Asentadas sin cuadrar,19.Zacapa,1.Zacapa,3393,presidente
21897,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 8, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 11, 'VOS': 13}",6,32,202,0,Sumas Asentadas sin cuadrar,19.Zacapa,1.Zacapa,3393,presidente
21898,,"{'UNE': 16, 'AZUL': 5, 'VALOR UNIONISTA': 10, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 4, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 71, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 13, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",6,37,211,0,Algún campo sin dato,19.Zacapa,1.Zacapa,3393,presidente
21899,,"{'UNE': 14, 'AZUL': 3, 'VALOR UNIONISTA': 22, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 79, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",4,23,206,0,Algún campo sin dato,19.Zacapa,1.Zacapa,3393,presidente
