mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22306,,"{'UNE': 48, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 34, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 11, 'VIVA': 17, 'MI FAMILIA': 4, 'CAMBIO': 2, 'VOS': 2}",25,65,284,0,Algún campo sin dato,19.Zacapa,10.Huité,3473,presidente
22307,,"{'UNE': 53, 'AZUL': 4, 'VALOR UNIONISTA': 21, 'CABAL': 40, 'TODOS': 0, 'VAMOS': 35, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 4, 'VOS': 5}",26,60,287,0,Algún campo sin dato,19.Zacapa,10.Huité,3473,presidente
22308,,"{'UNE': 64, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",50,63,299,0,Algún campo sin dato,19.Zacapa,10.Huité,3473,presidente
22309,,"{'UNE': 51, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 40, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",29,69,274,0,Algún campo sin dato,19.Zacapa,10.Huité,3473,presidente
22310,,"{'UNE': 67, 'AZUL': 2, 'VALOR UNIONISTA': 24, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 10, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",17,62,276,0,Algún campo sin dato,19.Zacapa,10.Huité,3474,presidente
22311,,"{'UNE': 65, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 3}",28,45,268,1,Algún campo sin dato,19.Zacapa,10.Huité,3474,presidente
22312,,"{'UNE': 46, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 1}",18,45,210,0,Algún campo sin dato,19.Zacapa,10.Huité,3474,presidente
22313,,"{'UNE': 44, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 3}",9,54,183,0,Algún campo sin dato,19.Zacapa,10.Huité,3474,presidente
22314,,"{'UNE': 97, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 42, 'TODOS': 1, 'VAMOS': 31, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 1}",55,35,300,0,Algún campo sin dato,19.Zacapa,10.Huité,3475,presidente
22315,,"{'UNE': 50, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 5, 'VOS': 0}",39,32,178,0,Algún campo sin dato,19.Zacapa,10.Huité,3475,presidente
