mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
21998,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 43, 'CABAL': 13, 'TODOS': 5, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",27,90,289,0,Algún campo sin dato,19.Zacapa,2.Estanzuela,3408,presidente
21999,,"{'UNE': 26, 'AZUL': 10, 'VALOR UNIONISTA': 33, 'CABAL': 12, 'TODOS': 4, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 7, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",23,74,270,0,Algún campo sin dato,19.Zacapa,2.Estanzuela,3408,presidente
22000,,"{'UNE': 41, 'AZUL': 11, 'VALOR UNIONISTA': 38, 'CABAL': 6, 'TODOS': 6, 'VAMOS': 27, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 7, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",22,94,301,0,Algún campo sin dato,19.Zacapa,2.Estanzuela,3408,presidente
22001,,"{'UNE': 37, 'AZUL': 8, 'VALOR UNIONISTA': 40, 'CABAL': 13, 'TODOS': 5, 'VAMOS': 28, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 7, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",23,90,312,0,Algún campo sin dato,19.Zacapa,2.Estanzuela,3408,presidente
22002,,"{'UNE': 27, 'AZUL': 7, 'VALOR UNIONISTA': 38, 'CABAL': 14, 'TODOS': 10, 'VAMOS': 30, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",23,101,298,0,Algún campo sin dato,19.Zacapa,2.Estanzuela,3408,presidente
22003,,"{'UNE': 24, 'AZUL': 4, 'VALOR UNIONISTA': 35, 'CABAL': 6, 'TODOS': 4, 'VAMOS': 36, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",29,91,290,0,Algún campo sin dato,19.Zacapa,2.Estanzuela,3408,presidente
22004,,"{'UNE': 26, 'AZUL': 5, 'VALOR UNIONISTA': 36, 'CABAL': 13, 'TODOS': 6, 'VAMOS': 41, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 6, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 3}",25,111,318,0,Algún campo sin dato,19.Zacapa,2.Estanzuela,3408,presidente
22005,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 41, 'CABAL': 6, 'TODOS': 9, 'VAMOS': 33, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",34,101,317,0,,19.Zacapa,2.Estanzuela,3408,presidente
22006,,"{'UNE': 24, 'AZUL': 7, 'VALOR UNIONISTA': 40, 'CABAL': 9, 'TODOS': 7, 'VAMOS': 23, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 9, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 9}",23,111,307,0,Algún campo sin dato,19.Zacapa,2.Estanzuela,3408,presidente
22007,,"{'UNE': 30, 'AZUL': 8, 'VALOR UNIONISTA': 13, 'CABAL': 37, 'TODOS': 10, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 6, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 5}",20,104,291,0,Sumas Asentadas sin cuadrar,19.Zacapa,2.Estanzuela,3408,presidente
