mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22066,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 15, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 5}",9,74,237,0,Algún campo sin dato,19.Zacapa,4.Gualán,3424,presidente
22067,,"{'UNE': 25, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 26, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 13, 'VIVA': 16, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 4}",7,65,230,0,Algún campo sin dato,19.Zacapa,4.Gualán,3424,presidente
22068,,"{'UNE': 31, 'AZUL': 6, 'VALOR UNIONISTA': 16, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 11, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",9,64,219,0,Algún campo sin dato,19.Zacapa,4.Gualán,3424,presidente
22069,,"{'UNE': 45, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",8,48,226,0,Algún campo sin dato,19.Zacapa,4.Gualán,3424,presidente
22070,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 36, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",6,33,164,0,Algún campo sin dato,19.Zacapa,4.Gualán,3424,presidente
22071,,"{'UNE': 20, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 20, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",4,33,136,0,Algún campo sin dato,19.Zacapa,4.Gualán,3424,presidente
22072,,"{'UNE': 43, 'AZUL': 3, 'VALOR UNIONISTA': 29, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 24, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",5,75,257,0,Algún campo sin dato,19.Zacapa,4.Gualán,3425,presidente
22073,,"{'UNE': 33, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 34, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 6, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",15,48,227,0,Algún campo sin dato,19.Zacapa,4.Gualán,3425,presidente
22074,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 39, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 13, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",8,49,200,0,Algún campo sin dato,19.Zacapa,4.Gualán,3425,presidente
22075,,"{'UNE': 67, 'AZUL': 7, 'VALOR UNIONISTA': 20, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",17,76,286,0,Sumas Asentadas sin cuadrar,19.Zacapa,4.Gualán,3426,presidente
22076,,"{'UNE': 72, 'AZUL': 7, 'VALOR UNIONISTA': 22, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 37, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 6, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",14,60,278,0,Algún campo sin dato,19.Zacapa,4.Gualán,3426,presidente
22077,,"{'UNE': 46, 'AZUL': 10, 'VALOR UNIONISTA': 23, 'CABAL': 20, 'TODOS': 3, 'VAMOS': 24, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",11,70,277,0,Algún campo sin dato,19.Zacapa,4.Gualán,3426,presidente
22078,,"{'UNE': 52, 'AZUL': 7, 'VALOR UNIONISTA': 14, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",10,60,248,0,Algún campo sin dato,19.Zacapa,4.Gualán,3426,presidente
22079,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",3,25,139,0,Algún campo sin dato,19.Zacapa,4.Gualán,3426,presidente
22080,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",10,25,128,0,Algún campo sin dato,19.Zacapa,4.Gualán,3426,presidente
22081,,"{'UNE': 31, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 24, 'FCN-NACION': 5, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 16, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",8,74,222,0,Algún campo sin dato,19.Zacapa,4.Gualán,3427,presidente
22082,,"{'UNE': 32, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 10, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",2,76,238,0,Algún campo sin dato,19.Zacapa,4.Gualán,3427,presidente
22083,,"{'UNE': 63, 'AZUL': 7, 'VALOR UNIONISTA': 14, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",13,84,258,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
22084,,"{'UNE': 64, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 20, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",13,90,268,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
22085,,"{'UNE': 46, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 24, 'TODOS': 2, 'VAMOS': 13, 'PHG': 0, 'PR': 4, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",20,104,265,0,Sumas Asentadas sin cuadrar,19.Zacapa,4.Gualán,3428,presidente
22086,,"{'UNE': 73, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 3}",14,97,287,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
22087,,"{'UNE': 48, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 9, 'VIVA': 30, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",13,95,270,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
22088,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",6,93,246,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
22089,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",13,95,248,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
22090,,"{'UNE': 44, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 10, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",7,93,265,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
22091,,"{'UNE': 45, 'AZUL': 4, 'VALOR UNIONISTA': 22, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",11,71,240,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
22092,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",4,81,239,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
22093,,"{'UNE': 30, 'AZUL': 4, 'VALOR UNIONISTA': 9, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 48, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",2,70,235,0,Algún campo sin dato,19.Zacapa,4.Gualán,3428,presidente
