mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22155,,"{'UNE': 33, 'AZUL': 12, 'VALOR UNIONISTA': 18, 'CABAL': 14, 'TODOS': 20, 'VAMOS': 12, 'PHG': 0, 'PR': 5, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 12, 'FCN-NACION': 3, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 11, 'VIVA': 26, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 10}",11,84,290,0,Algún campo sin dato,19.Zacapa,5.Teculután,3438,presidente
22156,,"{'UNE': 37, 'AZUL': 6, 'VALOR UNIONISTA': 19, 'CABAL': 8, 'TODOS': 18, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 27, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 15, 'VIVA': 29, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 8}",13,84,292,0,Algún campo sin dato,19.Zacapa,5.Teculután,3438,presidente
22157,,"{'UNE': 31, 'AZUL': 6, 'VALOR UNIONISTA': 25, 'CABAL': 6, 'TODOS': 23, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 14, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 7, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 2, 'VOS': 18}",12,96,295,0,Algún campo sin dato,19.Zacapa,5.Teculután,3438,presidente
22158,,"{'UNE': 42, 'AZUL': 7, 'VALOR UNIONISTA': 27, 'CABAL': 6, 'TODOS': 32, 'VAMOS': 21, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 12, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 3, 'VOS': 7}",6,85,309,0,Sumas Asentadas sin cuadrar,19.Zacapa,5.Teculután,3438,presidente
22159,,"{'UNE': 29, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 14, 'TODOS': 26, 'VAMOS': 10, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 21, 'FCN-NACION': 3, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 5, 'VIVA': 33, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 12}",9,82,283,0,Algún campo sin dato,19.Zacapa,5.Teculután,3438,presidente
22160,,"{'UNE': 28, 'AZUL': 11, 'VALOR UNIONISTA': 21, 'CABAL': 13, 'TODOS': 25, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 15, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",6,71,292,0,Algún campo sin dato,19.Zacapa,5.Teculután,3438,presidente
22161,,"{'UNE': 33, 'AZUL': 7, 'VALOR UNIONISTA': 27, 'CABAL': 11, 'TODOS': 21, 'VAMOS': 11, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 26, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 13, 'VIVA': 27, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 9}",7,65,279,0,Algún campo sin dato,19.Zacapa,5.Teculután,3438,presidente
22162,,"{'UNE': 26, 'AZUL': 5, 'VALOR UNIONISTA': 23, 'CABAL': 20, 'TODOS': 12, 'VAMOS': 15, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 16, 'VIVA': 25, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",11,60,263,0,Algún campo sin dato,19.Zacapa,5.Teculután,3438,presidente
22163,,"{'UNE': 19, 'AZUL': 6, 'VALOR UNIONISTA': 26, 'CABAL': 8, 'TODOS': 20, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 30, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 18, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 16}",10,70,277,0,Algún campo sin dato,19.Zacapa,5.Teculután,3438,presidente
22164,,"{'UNE': 29, 'AZUL': 8, 'VALOR UNIONISTA': 20, 'CABAL': 13, 'TODOS': 18, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 13, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 13}",9,82,277,0,Algún campo sin dato,19.Zacapa,5.Teculután,3439,presidente
