mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22190,,"{'UNE': 46, 'AZUL': 1, 'VALOR UNIONISTA': 23, 'CABAL': 12, 'TODOS': 13, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 22, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 3}",20,88,292,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3446,presidente
22191,,"{'UNE': 36, 'AZUL': 5, 'VALOR UNIONISTA': 27, 'CABAL': 12, 'TODOS': 8, 'VAMOS': 25, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 4}",28,99,300,0,,19.Zacapa,6.Usumatlán,3446,presidente
22192,,"{'UNE': 54, 'AZUL': 8, 'VALOR UNIONISTA': 33, 'CABAL': 16, 'TODOS': 4, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 8, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 3}",15,90,299,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3446,presidente
22193,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 23, 'TODOS': 5, 'VAMOS': 33, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 1}",27,101,301,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3446,presidente
22194,,"{'UNE': 33, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 10, 'TODOS': 6, 'VAMOS': 34, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 11, 'VIVA': 37, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 5}",15,75,296,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3446,presidente
22195,,"{'UNE': 33, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 22, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",10,87,261,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3446,presidente
22196,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 10, 'TODOS': 7, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 9, 'VIVA': 22, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 3}",18,84,264,11,Algún campo sin dato,19.Zacapa,6.Usumatlán,3446,presidente
22197,,"{'UNE': 33, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 25, 'TODOS': 11, 'VAMOS': 26, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 10, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 4}",11,76,292,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3446,presidente
22198,,"{'UNE': 37, 'AZUL': 2, 'VALOR UNIONISTA': 23, 'CABAL': 12, 'TODOS': 8, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",10,88,274,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3447,presidente
22199,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 15, 'TODOS': 5, 'VAMOS': 17, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",15,68,230,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3447,presidente
22200,,"{'UNE': 56, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 49, 'TODOS': 2, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 41, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 1}",25,65,280,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3448,presidente
22201,,"{'UNE': 50, 'AZUL': 4, 'VALOR UNIONISTA': 18, 'CABAL': 32, 'TODOS': 6, 'VAMOS': 20, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 32, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 4}",32,68,291,0,Algún campo sin dato,19.Zacapa,6.Usumatlán,3448,presidente
