mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22214,,"{'UNE': 113, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 15, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",17,49,284,0,Algún campo sin dato,19.Zacapa,7.Cabañas,3451,presidente
22215,,"{'UNE': 122, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 10}",21,63,300,0,Algún campo sin dato,19.Zacapa,7.Cabañas,3451,presidente
22216,,"{'UNE': 86, 'AZUL': 4, 'VALOR UNIONISTA': 25, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 14, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",24,75,287,0,Algún campo sin dato,19.Zacapa,7.Cabañas,3451,presidente
22217,,"{'UNE': 107, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 19, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",26,61,313,0,Algún campo sin dato,19.Zacapa,7.Cabañas,3451,presidente
22218,,"{'UNE': 114, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",20,73,310,0,Algún campo sin dato,19.Zacapa,7.Cabañas,3451,presidente
22219,,"{'UNE': 106, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",23,63,302,0,Algún campo sin dato,19.Zacapa,7.Cabañas,3451,presidente
22220,,"{'UNE': 89, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 6, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",13,66,260,0,Algún campo sin dato,19.Zacapa,7.Cabañas,3451,presidente
22221,,"{'UNE': 88, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 21, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",15,59,267,0,Algún campo sin dato,19.Zacapa,7.Cabañas,3451,presidente
22222,,"{'UNE': 85, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",21,50,271,0,Algún campo sin dato,19.Zacapa,7.Cabañas,3451,presidente
22223,,"{'UNE': 69, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 57, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",16,47,283,4,Algún campo sin dato,19.Zacapa,7.Cabañas,3452,presidente
