mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22241,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 57, 'CABAL': 4, 'TODOS': 4, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",31,72,277,0,Algún campo sin dato,19.Zacapa,8.San Diego,3459,presidente
22242,,"{'UNE': 61, 'AZUL': 1, 'VALOR UNIONISTA': 51, 'CABAL': 2, 'TODOS': 6, 'VAMOS': 32, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",38,84,307,0,Algún campo sin dato,19.Zacapa,8.San Diego,3459,presidente
22243,,"{'UNE': 45, 'AZUL': 0, 'VALOR UNIONISTA': 65, 'CABAL': 2, 'TODOS': 4, 'VAMOS': 34, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",34,98,303,0,Algún campo sin dato,19.Zacapa,8.San Diego,3459,presidente
22244,,"{'UNE': 49, 'AZUL': 1, 'VALOR UNIONISTA': 63, 'CABAL': 3, 'TODOS': 8, 'VAMOS': 47, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",36,78,314,0,Algún campo sin dato,19.Zacapa,8.San Diego,3459,presidente
22245,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 62, 'CABAL': 5, 'TODOS': 8, 'VAMOS': 50, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",36,101,322,0,Algún campo sin dato,19.Zacapa,8.San Diego,3459,presidente
22246,,"{'UNE': 40, 'AZUL': 0, 'VALOR UNIONISTA': 59, 'CABAL': 1, 'TODOS': 5, 'VAMOS': 38, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",26,97,299,0,Algún campo sin dato,19.Zacapa,8.San Diego,3459,presidente
22247,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 43, 'CABAL': 5, 'TODOS': 8, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",26,82,261,0,Algún campo sin dato,19.Zacapa,8.San Diego,3460,presidente
22248,,"{'UNE': 35, 'AZUL': 0, 'VALOR UNIONISTA': 54, 'CABAL': 4, 'TODOS': 8, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",29,77,267,0,Algún campo sin dato,19.Zacapa,8.San Diego,3460,presidente
22249,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 43, 'CABAL': 3, 'TODOS': 8, 'VAMOS': 40, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",30,74,277,0,Algún campo sin dato,19.Zacapa,8.San Diego,3460,presidente
22250,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 54, 'CABAL': 3, 'TODOS': 8, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",21,82,290,0,Algún campo sin dato,19.Zacapa,8.San Diego,3460,presidente
