mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22257,,"{'UNE': 91, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 36, 'TODOS': 0, 'VAMOS': 50, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",11,59,304,0,Algún campo sin dato,19.Zacapa,9.La Unión,3463,presidente
22258,,"{'UNE': 113, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 59, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 2, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",16,40,290,0,,19.Zacapa,9.La Unión,3463,presidente
22259,,"{'UNE': 114, 'AZUL': 3, 'VALOR UNIONISTA': 26, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 46, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",19,38,293,0,Algún campo sin dato,19.Zacapa,9.La Unión,3463,presidente
22260,,"{'UNE': 104, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 29, 'TODOS': 2, 'VAMOS': 65, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",12,49,300,0,Algún campo sin dato,19.Zacapa,9.La Unión,3463,presidente
22261,,"{'UNE': 135, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 64, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",12,45,315,0,Algún campo sin dato,19.Zacapa,9.La Unión,3463,presidente
22262,,"{'UNE': 141, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 58, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",17,41,312,0,Algún campo sin dato,19.Zacapa,9.La Unión,3464,presidente
22263,,"{'UNE': 81, 'AZUL': 4, 'VALOR UNIONISTA': 21, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 44, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",7,42,240,0,Algún campo sin dato,19.Zacapa,9.La Unión,3464,presidente
22264,,"{'UNE': 70, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 42, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 9, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",12,61,248,0,Algún campo sin dato,19.Zacapa,9.La Unión,3464,presidente
22265,,"{'UNE': 74, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",8,52,243,0,Algún campo sin dato,19.Zacapa,9.La Unión,3464,presidente
22266,,"{'UNE': 88, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 46, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",3,39,243,0,Algún campo sin dato,19.Zacapa,9.La Unión,3464,presidente
22267,,"{'UNE': 108, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 48, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",9,36,267,0,Algún campo sin dato,19.Zacapa,9.La Unión,3464,presidente
22268,,"{'UNE': 88, 'AZUL': 4, 'VALOR UNIONISTA': 7, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 32, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",2,29,201,0,Algún campo sin dato,19.Zacapa,9.La Unión,3465,presidente
22269,,"{'UNE': 61, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",6,22,158,0,,19.Zacapa,9.La Unión,3465,presidente
22270,,"{'UNE': 69, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 67, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",34,48,272,0,Algún campo sin dato,19.Zacapa,9.La Unión,3466,presidente
22271,,"{'UNE': 86, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 74, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",19,43,275,0,Algún campo sin dato,19.Zacapa,9.La Unión,3466,presidente
22272,,"{'UNE': 92, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 41, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",14,50,281,0,Algún campo sin dato,19.Zacapa,9.La Unión,3466,presidente
