mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5708,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 25, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 16, 'SEMILLA': 46, 'FCN-NACION': 4, 'PPN': 2, 'UR': 8, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 4, 'VIVA': 40, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 17}",12,55,295,0,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
5709,,"{'UNE': 12, 'AZUL': 5, 'VALOR UNIONISTA': 22, 'CABAL': 33, 'TODOS': 5, 'VAMOS': 11, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 47, 'FCN-NACION': 2, 'PPN': 0, 'UR': 14, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 49, 'MI FAMILIA': 8, 'CAMBIO': 1, 'VOS': 9}",15,50,305,95,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
5710,,"{'UNE': 16, 'AZUL': 10, 'VALOR UNIONISTA': 20, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 31, 'FCN-NACION': 4, 'PPN': 4, 'UR': 7, 'URNG-MAIZ WINAQ': 8, 'CREO': 4, 'BIEN': 7, 'VIVA': 51, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 16}",8,52,301,0,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
5711,,"{'UNE': 11, 'AZUL': 4, 'VALOR UNIONISTA': 28, 'CABAL': 46, 'TODOS': 3, 'VAMOS': 8, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 11, 'SEMILLA': 55, 'FCN-NACION': 0, 'PPN': 3, 'UR': 9, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 9, 'VIVA': 38, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 18}",5,50,318,0,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
5712,,"{'UNE': 16, 'AZUL': 6, 'VALOR UNIONISTA': 25, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 5, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 50, 'FCN-NACION': 1, 'PPN': 4, 'UR': 8, 'URNG-MAIZ WINAQ': 12, 'CREO': 3, 'BIEN': 6, 'VIVA': 36, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 20}",7,56,317,0,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
5713,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 34, 'TODOS': 0, 'VAMOS': 6, 'PHG': 1, 'PR': 6, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 29, 'FCN-NACION': 3, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 5, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 16}",21,57,302,98,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
5714,,"{'UNE': 14, 'AZUL': 6, 'VALOR UNIONISTA': 25, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 2, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 51, 'FCN-NACION': 0, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 3, 'VIVA': 48, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 17}",7,56,288,0,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
5715,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 52, 'FCN-NACION': 3, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 9, 'VIVA': 37, 'MI FAMILIA': 13, 'CAMBIO': 0, 'VOS': 15}",15,46,290,0,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
5716,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 19, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 3, 'PHG': 1, 'PR': 8, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 8, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 8, 'VIVA': 40, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 13}",18,47,305,0,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
5717,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 24, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 7, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 1, 'UR': 13, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 10, 'VIVA': 43, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",17,34,287,0,Algún campo sin dato,2.Sacatepéquez,10.Magdalena Milpas Altas,0591,presidente
