mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5727,,"{'UNE': 34, 'AZUL': 10, 'VALOR UNIONISTA': 9, 'CABAL': 21, 'TODOS': 3, 'VAMOS': 27, 'PHG': 0, 'PR': 8, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 16, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 15, 'UR': 10, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 0, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",13,29,254,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0594,presidente
5728,,"{'UNE': 23, 'AZUL': 6, 'VALOR UNIONISTA': 12, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 10, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 14, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 19, 'UR': 10, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 0, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",13,49,271,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0594,presidente
5729,,"{'UNE': 32, 'AZUL': 9, 'VALOR UNIONISTA': 8, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 19, 'SEMILLA': 14, 'FCN-NACION': 2, 'PPN': 17, 'UR': 4, 'URNG-MAIZ WINAQ': 9, 'CREO': 4, 'BIEN': 5, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",17,38,250,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0594,presidente
5730,,"{'UNE': 34, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 18, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 3, 'VIVA': 36, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 13}",21,36,259,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,11.Santa María De Jesús,0594,presidente
5731,,"{'UNE': 31, 'AZUL': 7, 'VALOR UNIONISTA': 10, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 35, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 12, 'SEMILLA': 9, 'FCN-NACION': 3, 'PPN': 22, 'UR': 10, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",22,42,261,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0594,presidente
5732,,"{'UNE': 16, 'AZUL': 7, 'VALOR UNIONISTA': 8, 'CABAL': 22, 'TODOS': 2, 'VAMOS': 19, 'PHG': 0, 'PR': 13, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 12, 'FCN-NACION': 3, 'PPN': 25, 'UR': 13, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",25,47,268,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0594,presidente
5733,,"{'UNE': 31, 'AZUL': 7, 'VALOR UNIONISTA': 9, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 42, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 14, 'SEMILLA': 14, 'FCN-NACION': 2, 'PPN': 28, 'UR': 13, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",13,39,267,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,11.Santa María De Jesús,0594,presidente
5734,,"{'UNE': 33, 'AZUL': 5, 'VALOR UNIONISTA': 5, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 27, 'PHG': 0, 'PR': 10, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 9, 'FCN-NACION': 3, 'PPN': 25, 'UR': 9, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",16,42,271,1,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0594,presidente
5735,,"{'UNE': 37, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 26, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 16, 'UR': 9, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 2, 'VIVA': 37, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",19,43,272,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0594,presidente
5736,,"{'UNE': 31, 'AZUL': 11, 'VALOR UNIONISTA': 7, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 25, 'PHG': 1, 'PR': 8, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 11, 'FCN-NACION': 4, 'PPN': 28, 'UR': 7, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 2, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",17,40,254,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0595,presidente
5737,,"{'UNE': 30, 'AZUL': 7, 'VALOR UNIONISTA': 12, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 9, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 16, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 26, 'UR': 6, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 4, 'VIVA': 35, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 2}",16,41,286,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0595,presidente
5738,,"{'UNE': 40, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 15, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 17, 'UR': 7, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 0, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",13,40,249,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0595,presidente
5739,,"{'UNE': 26, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 28, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 12, 'UR': 13, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 12}",7,32,246,10,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0595,presidente
5740,,"{'UNE': 24, 'AZUL': 6, 'VALOR UNIONISTA': 6, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 21, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 27, 'FCN-NACION': 5, 'PPN': 21, 'UR': 6, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 1, 'VIVA': 32, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",2,41,251,1,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0595,presidente
5741,,"{'UNE': 29, 'AZUL': 8, 'VALOR UNIONISTA': 11, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 18, 'PHG': 1, 'PR': 6, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 20, 'FCN-NACION': 3, 'PPN': 20, 'UR': 7, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 4, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",10,41,261,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0595,presidente
5742,,"{'UNE': 30, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 24, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 26, 'FCN-NACION': 5, 'PPN': 8, 'UR': 6, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",4,41,252,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0595,presidente
5743,,"{'UNE': 19, 'AZUL': 7, 'VALOR UNIONISTA': 8, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 9, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 16, 'FCN-NACION': 3, 'PPN': 12, 'UR': 12, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",20,32,256,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0596,presidente
5744,,"{'UNE': 30, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 33, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 16, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",14,35,237,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,11.Santa María De Jesús,0596,presidente
5745,,"{'UNE': 29, 'AZUL': 4, 'VALOR UNIONISTA': 7, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 16, 'PHG': 1, 'PR': 8, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 23, 'UR': 10, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",15,38,238,0,Algún campo sin dato,2.Sacatepéquez,11.Santa María De Jesús,0596,presidente
