mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5760,,"{'UNE': 22, 'AZUL': 9, 'VALOR UNIONISTA': 12, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 6, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 62, 'FCN-NACION': 3, 'PPN': 10, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 12, 'VIVA': 17, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 15}",16,33,279,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5761,,"{'UNE': 21, 'AZUL': 5, 'VALOR UNIONISTA': 24, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 9, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 50, 'FCN-NACION': 0, 'PPN': 8, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",12,40,275,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5762,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 10, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 52, 'FCN-NACION': 4, 'PPN': 6, 'UR': 8, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 15}",15,48,278,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5763,,"{'UNE': 33, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 10, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 50, 'FCN-NACION': 1, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 7, 'VIVA': 17, 'MI FAMILIA': 9, 'CAMBIO': 1, 'VOS': 21}",14,39,273,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5764,,"{'UNE': 12, 'AZUL': 4, 'VALOR UNIONISTA': 15, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 10, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 76, 'FCN-NACION': 2, 'PPN': 9, 'UR': 7, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 6, 'VIVA': 8, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 14}",12,42,276,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5765,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 4, 'SEMILLA': 57, 'FCN-NACION': 4, 'PPN': 7, 'UR': 10, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 19, 'MI FAMILIA': 10, 'CAMBIO': 1, 'VOS': 14}",8,41,279,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5766,,"{'UNE': 9, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 9, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 50, 'FCN-NACION': 4, 'PPN': 9, 'UR': 6, 'URNG-MAIZ WINAQ': 12, 'CREO': 4, 'BIEN': 11, 'VIVA': 10, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 12}",16,32,276,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5767,,"{'UNE': 7, 'AZUL': 4, 'VALOR UNIONISTA': 15, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 18, 'PHG': 1, 'PR': 7, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 54, 'FCN-NACION': 6, 'PPN': 5, 'UR': 8, 'URNG-MAIZ WINAQ': 2, 'CREO': 5, 'BIEN': 9, 'VIVA': 15, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 20}",15,37,272,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5768,,"{'UNE': 21, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 29, 'PHG': 0, 'PR': 10, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 2, 'SEMILLA': 54, 'FCN-NACION': 0, 'PPN': 5, 'UR': 7, 'URNG-MAIZ WINAQ': 9, 'CREO': 2, 'BIEN': 7, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",10,39,273,0,,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5769,,"{'UNE': 16, 'AZUL': 8, 'VALOR UNIONISTA': 22, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 17, 'PHG': 1, 'PR': 12, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 64, 'FCN-NACION': 1, 'PPN': 6, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 6, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 15}",10,49,280,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5770,,"{'UNE': 19, 'AZUL': 6, 'VALOR UNIONISTA': 11, 'CABAL': 29, 'TODOS': 2, 'VAMOS': 15, 'PHG': 0, 'PR': 16, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 57, 'FCN-NACION': 1, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 19}",14,36,272,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5771,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 8, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 55, 'FCN-NACION': 3, 'PPN': 6, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 4, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 22}",7,45,268,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5772,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 91, 'FCN-NACION': 1, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 9, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 25}",4,42,259,141,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0599,presidente
5773,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 16, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 75, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 10, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 27}",8,38,269,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0600,presidente
5774,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 7, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 62, 'FCN-NACION': 5, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",7,48,256,0,Algún campo sin dato,2.Sacatepéquez,12.Ciudad Vieja,0600,presidente
