mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5808,,"{'UNE': 11, 'AZUL': 3, 'VALOR UNIONISTA': 39, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 24, 'PHG': 0, 'PR': 5, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 12}",17,52,254,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5809,,"{'UNE': 12, 'AZUL': 4, 'VALOR UNIONISTA': 39, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 33, 'FCN-NACION': 4, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 8, 'CAMBIO': 2, 'VOS': 16}",22,48,261,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5810,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 40, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 20, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 7, 'CREO': 4, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 12}",34,41,263,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5811,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 39, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 7}",17,22,222,47,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5812,,"{'UNE': 12, 'AZUL': 3, 'VALOR UNIONISTA': 35, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 22, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 4, 'UR': 7, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 5, 'VIVA': 19, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 11}",25,49,271,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5813,,"{'UNE': 20, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 13}",21,57,261,139,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5814,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 39, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 24, 'FCN-NACION': 2, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 26, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",32,56,269,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5815,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 27, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 16, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 55, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 18}",9,58,237,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5816,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 31, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 10, 'VIVA': 16, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 13}",11,42,231,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5817,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 41, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 55, 'FCN-NACION': 3, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 14, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 24}",17,29,247,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5818,,"{'UNE': 21, 'AZUL': 0, 'VALOR UNIONISTA': 32, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 12, 'VIVA': 11, 'MI FAMILIA': 4, 'CAMBIO': 2, 'VOS': 11}",14,52,240,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5819,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 32, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 53, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 20}",9,51,247,3,Sumas Asentadas sin cuadrar,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5820,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 52, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 27, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 7, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 16}",9,45,242,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5821,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 29, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 17, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 8, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 14}",28,47,234,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5822,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 34, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 67, 'FCN-NACION': 2, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 14}",13,45,256,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5823,,"{'UNE': 4, 'AZUL': 2, 'VALOR UNIONISTA': 40, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 108, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 14, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 9}",4,34,260,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5824,,"{'UNE': 7, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 59, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",2,17,157,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5825,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",2,18,128,0,,2.Sacatepéquez,13.San Miguel Dueñas,0604,presidente
5826,,"{'UNE': 8, 'AZUL': 2, 'VALOR UNIONISTA': 23, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 33, 'FCN-NACION': 2, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",8,44,180,0,Algún campo sin dato,2.Sacatepéquez,13.San Miguel Dueñas,0605,presidente
