mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5827,,"{'UNE': 33, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 18, 'VICTORIA': 2, 'SEMILLA': 25, 'FCN-NACION': 3, 'PPN': 9, 'UR': 4, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 4, 'VIVA': 30, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 11}",17,47,281,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5828,,"{'UNE': 39, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 19, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 13, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 4}",25,49,274,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5829,,"{'UNE': 30, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 15, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 17, 'VICTORIA': 4, 'SEMILLA': 27, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 7, 'BIEN': 6, 'VIVA': 34, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 12}",16,53,276,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5830,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 21, 'VICTORIA': 7, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 8, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 4, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 11}",21,64,279,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5831,,"{'UNE': 17, 'AZUL': 7, 'VALOR UNIONISTA': 12, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 23, 'VICTORIA': 6, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 8, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 2, 'VIVA': 30, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 5}",19,59,284,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5832,,"{'UNE': 24, 'AZUL': 6, 'VALOR UNIONISTA': 13, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 19, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 16, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 3, 'PPN': 5, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 5}",28,65,292,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5833,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 23, 'VICTORIA': 10, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 1, 'VIVA': 39, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 7}",22,51,297,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5834,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 31, 'TODOS': 2, 'VAMOS': 23, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 15, 'VICTORIA': 2, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 5, 'UR': 6, 'URNG-MAIZ WINAQ': 6, 'CREO': 6, 'BIEN': 2, 'VIVA': 40, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 3}",26,59,293,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5835,,"{'UNE': 39, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 31, 'TODOS': 1, 'VAMOS': 22, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 19, 'VICTORIA': 4, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 6, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 1, 'VIVA': 25, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 5}",31,55,295,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5836,,"{'UNE': 34, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 20, 'VICTORIA': 2, 'SEMILLA': 25, 'FCN-NACION': 3, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 5, 'BIEN': 2, 'VIVA': 31, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 3}",42,47,294,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5837,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 14, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 9, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 5, 'BIEN': 3, 'VIVA': 30, 'MI FAMILIA': 22, 'CAMBIO': 0, 'VOS': 4}",33,47,306,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5838,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 29, 'PHG': 1, 'PR': 4, 'PIN': 1, 'ELEFANTE': 8, 'VICTORIA': 9, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 8, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 36, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",25,66,299,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0606,presidente
5839,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 28, 'TODOS': 2, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 13, 'VICTORIA': 2, 'SEMILLA': 38, 'FCN-NACION': 3, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 11, 'VIVA': 35, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 8}",27,42,279,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0607,presidente
5840,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 33, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 5, 'SEMILLA': 45, 'FCN-NACION': 2, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 8, 'VIVA': 43, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 17}",2,62,288,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0607,presidente
5841,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 9, 'VICTORIA': 5, 'SEMILLA': 46, 'FCN-NACION': 2, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 2, 'VIVA': 37, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 19}",25,51,285,0,,2.Sacatepéquez,14.Alotenango,0607,presidente
5842,,"{'UNE': 22, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 17, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 6, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 3, 'VIVA': 30, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 13}",10,63,271,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0607,presidente
5843,,"{'UNE': 23, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 10, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 6, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 7, 'VIVA': 35, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 15}",9,57,280,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0608,presidente
5844,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 18, 'VICTORIA': 2, 'SEMILLA': 40, 'FCN-NACION': 2, 'PPN': 5, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 30, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 9}",11,61,289,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0608,presidente
5845,,"{'UNE': 22, 'AZUL': 5, 'VALOR UNIONISTA': 8, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 18, 'VICTORIA': 2, 'SEMILLA': 40, 'FCN-NACION': 1, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 2, 'VIVA': 29, 'MI FAMILIA': 10, 'CAMBIO': 1, 'VOS': 11}",20,56,272,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0608,presidente
5846,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 29, 'TODOS': 2, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 14, 'VICTORIA': 2, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 8, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 2, 'VIVA': 29, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 17}",21,50,277,0,Algún campo sin dato,2.Sacatepéquez,14.Alotenango,0608,presidente
