mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5859,,"{'UNE': 12, 'AZUL': 6, 'VALOR UNIONISTA': 23, 'CABAL': 38, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 58, 'FCN-NACION': 4, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 41}",23,50,317,0,Algún campo sin dato,2.Sacatepéquez,15.San Antonio Aguas Calientes,0611,presidente
5860,,"{'UNE': 6, 'AZUL': 4, 'VALOR UNIONISTA': 18, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 15, 'PHG': 1, 'PR': 1, 'PIN': 3, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 65, 'FCN-NACION': 1, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 7, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 48}",29,32,330,0,Algún campo sin dato,2.Sacatepéquez,15.San Antonio Aguas Calientes,0611,presidente
5861,,"{'UNE': 8, 'AZUL': 9, 'VALOR UNIONISTA': 19, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 11, 'PHG': 1, 'PR': 6, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 61, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 11, 'CREO': 3, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 52}",32,39,322,0,Algún campo sin dato,2.Sacatepéquez,15.San Antonio Aguas Calientes,0611,presidente
5862,,"{'UNE': 8, 'AZUL': 11, 'VALOR UNIONISTA': 19, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 19, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 55, 'FCN-NACION': 2, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 5, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 53}",34,46,340,0,Algún campo sin dato,2.Sacatepéquez,15.San Antonio Aguas Calientes,0611,presidente
5863,,"{'UNE': 10, 'AZUL': 10, 'VALOR UNIONISTA': 19, 'CABAL': 45, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 6, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 55}",27,49,339,0,Algún campo sin dato,2.Sacatepéquez,15.San Antonio Aguas Calientes,0611,presidente
5864,,"{'UNE': 11, 'AZUL': 15, 'VALOR UNIONISTA': 13, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 56, 'FCN-NACION': 3, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 25, 'CREO': 2, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 43}",22,51,335,0,,2.Sacatepéquez,15.San Antonio Aguas Calientes,0611,presidente
5865,,"{'UNE': 8, 'AZUL': 11, 'VALOR UNIONISTA': 12, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 66, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 5, 'BIEN': 0, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 51}",18,45,320,2,,2.Sacatepéquez,15.San Antonio Aguas Calientes,0612,presidente
5866,,"{'UNE': 6, 'AZUL': 7, 'VALOR UNIONISTA': 14, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 102, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 7, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 53}",8,33,292,0,Algún campo sin dato,2.Sacatepéquez,15.San Antonio Aguas Calientes,0612,presidente
5867,,"{'UNE': 12, 'AZUL': 7, 'VALOR UNIONISTA': 10, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 86, 'FCN-NACION': 2, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 4, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 42}",17,47,301,0,,2.Sacatepéquez,15.San Antonio Aguas Calientes,0612,presidente
5868,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,Acta ilegible,2.Sacatepéquez,15.San Antonio Aguas Calientes,0612,presidente
5869,,"{'UNE': 6, 'AZUL': 5, 'VALOR UNIONISTA': 11, 'CABAL': 36, 'TODOS': 3, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 86, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 13, 'CREO': 2, 'BIEN': 6, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 36}",17,42,314,0,Algún campo sin dato,2.Sacatepéquez,15.San Antonio Aguas Calientes,0612,presidente
