mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5878,,"{'UNE': 24, 'AZUL': 6, 'VALOR UNIONISTA': 17, 'CABAL': 23, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 42, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 12, 'CREO': 4, 'BIEN': 11, 'VIVA': 20, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 13}",50,75,340,0,Algún campo sin dato,2.Sacatepéquez,16.Santa Catarina Barahona,0616,presidente
5879,,"{'UNE': 26, 'AZUL': 10, 'VALOR UNIONISTA': 30, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 18, 'PHG': 1, 'PR': 4, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 52, 'FCN-NACION': 1, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 6, 'VIVA': 22, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 8}",52,62,340,0,Algún campo sin dato,2.Sacatepéquez,16.Santa Catarina Barahona,0616,presidente
5880,,"{'UNE': 23, 'AZUL': 7, 'VALOR UNIONISTA': 28, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 16, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 6, 'VICTORIA': 6, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 0, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 18}",49,71,332,0,Algún campo sin dato,2.Sacatepéquez,16.Santa Catarina Barahona,0616,presidente
5881,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 32, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 56, 'FCN-NACION': 3, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 6, 'VIVA': 30, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 15}",37,64,318,0,Algún campo sin dato,2.Sacatepéquez,16.Santa Catarina Barahona,0616,presidente
5882,,"{'UNE': 26, 'AZUL': 8, 'VALOR UNIONISTA': 20, 'CABAL': 16, 'TODOS': 3, 'VAMOS': 11, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 49, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 14, 'CREO': 3, 'BIEN': 6, 'VIVA': 34, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 14}",39,63,328,0,Algún campo sin dato,2.Sacatepéquez,16.Santa Catarina Barahona,0617,presidente
5883,,"{'UNE': 21, 'AZUL': 5, 'VALOR UNIONISTA': 36, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 16, 'PHG': 2, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 50, 'FCN-NACION': 4, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 22}",46,54,324,0,Algún campo sin dato,2.Sacatepéquez,16.Santa Catarina Barahona,0617,presidente
5884,,"{'UNE': 20, 'AZUL': 7, 'VALOR UNIONISTA': 28, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 90, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 7, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 23}",37,46,328,0,Algún campo sin dato,2.Sacatepéquez,16.Santa Catarina Barahona,0617,presidente
5885,,"{'UNE': 21, 'AZUL': 5, 'VALOR UNIONISTA': 24, 'CABAL': 21, 'TODOS': 6, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 4, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 113, 'FCN-NACION': 0, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 21}",16,54,332,0,Algún campo sin dato,2.Sacatepéquez,16.Santa Catarina Barahona,0617,presidente
5886,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 66, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 9, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",11,34,188,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,16.Santa Catarina Barahona,0618,presidente
5887,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 43, 'FCN-NACION': 4, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",18,31,179,0,Algún campo sin dato,2.Sacatepéquez,16.Santa Catarina Barahona,0618,presidente
