mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5437,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 21, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 82, 'FCN-NACION': 1, 'PPN': 6, 'UR': 5, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 12, 'VIVA': 17, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 38}",10,40,311,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0546,presidente
5438,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 10, 'VIVA': 11, 'MI FAMILIA': 10, 'CAMBIO': 1, 'VOS': 45}",11,32,305,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0546,presidente
5439,,"{'UNE': 18, 'AZUL': 4, 'VALOR UNIONISTA': 20, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 8, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 105, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 9, 'VIVA': 11, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 41}",3,43,325,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0546,presidente
5440,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 33, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 92, 'FCN-NACION': 0, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 7, 'VIVA': 16, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 39}",5,37,324,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0546,presidente
5441,,"{'UNE': 23, 'AZUL': 5, 'VALOR UNIONISTA': 27, 'CABAL': 34, 'TODOS': 0, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 79, 'FCN-NACION': 2, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 9, 'VIVA': 9, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 36}",7,37,302,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0546,presidente
5442,,"{'UNE': 14, 'AZUL': 4, 'VALOR UNIONISTA': 25, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 96, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 10, 'VIVA': 9, 'MI FAMILIA': 8, 'CAMBIO': 1, 'VOS': 40}",10,34,310,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0546,presidente
5443,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 36, 'CABAL': 33, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 83, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 13, 'VIVA': 10, 'MI FAMILIA': 13, 'CAMBIO': 0, 'VOS': 33}",7,43,322,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0547,presidente
5444,,"{'UNE': 19, 'AZUL': 7, 'VALOR UNIONISTA': 27, 'CABAL': 34, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 71, 'FCN-NACION': 3, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 9, 'CREO': 5, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 39}",7,38,319,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0547,presidente
5445,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 28, 'CABAL': 39, 'TODOS': 2, 'VAMOS': 5, 'PHG': 1, 'PR': 5, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 84, 'FCN-NACION': 4, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 9, 'VIVA': 15, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 33}",10,35,313,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0547,presidente
5446,,"{'UNE': 18, 'AZUL': 6, 'VALOR UNIONISTA': 20, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 6, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 73, 'FCN-NACION': 2, 'PPN': 5, 'UR': 8, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 15, 'VIVA': 19, 'MI FAMILIA': 11, 'CAMBIO': 0, 'VOS': 23}",9,41,321,0,Algún campo sin dato,2.Sacatepéquez,2.Jocotenango,0547,presidente
