mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5474,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 37, 'TODOS': 0, 'VAMOS': 19, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 45, 'FCN-NACION': 4, 'PPN': 2, 'UR': 9, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 23}",21,50,299,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0553,presidente
5475,,"{'UNE': 20, 'AZUL': 4, 'VALOR UNIONISTA': 15, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 54, 'FCN-NACION': 3, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 2, 'VIVA': 29, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 21}",15,67,324,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0553,presidente
5476,,"{'UNE': 20, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 49, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 5, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 53, 'FCN-NACION': 0, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 9, 'CAMBIO': 1, 'VOS': 13}",34,46,324,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0553,presidente
5477,,"{'UNE': 33, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 18, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 58, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 9, 'VIVA': 21, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 24}",21,39,320,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0553,presidente
5478,,"{'UNE': 34, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 52, 'TODOS': 1, 'VAMOS': 28, 'PHG': 0, 'PR': 4, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 7, 'VIVA': 23, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 15}",26,35,321,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0554,presidente
5479,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 21, 'CABAL': 55, 'TODOS': 4, 'VAMOS': 30, 'PHG': 1, 'PR': 6, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 40, 'FCN-NACION': 2, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 10, 'CREO': 5, 'BIEN': 6, 'VIVA': 21, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 21}",26,47,345,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0554,presidente
5480,,"{'UNE': 38, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 45, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 6, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 41, 'FCN-NACION': 4, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 15}",37,45,337,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0554,presidente
5481,,"{'UNE': 34, 'AZUL': 6, 'VALOR UNIONISTA': 14, 'CABAL': 63, 'TODOS': 0, 'VAMOS': 36, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 5, 'VIVA': 29, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 18}",29,40,337,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0554,presidente
5482,,"{'UNE': 46, 'AZUL': 7, 'VALOR UNIONISTA': 8, 'CABAL': 63, 'TODOS': 3, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 35, 'FCN-NACION': 2, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 5, 'VIVA': 29, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 9}",21,54,335,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0554,presidente
5483,,"{'UNE': 29, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 54, 'TODOS': 1, 'VAMOS': 20, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 45, 'FCN-NACION': 1, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 3, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",33,42,315,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0554,presidente
5484,,"{'UNE': 34, 'AZUL': 4, 'VALOR UNIONISTA': 20, 'CABAL': 67, 'TODOS': 0, 'VAMOS': 16, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 16, 'FCN-NACION': 6, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 4, 'VIVA': 24, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 10}",22,48,304,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0555,presidente
5485,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 63, 'TODOS': 6, 'VAMOS': 16, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 14, 'FCN-NACION': 5, 'PPN': 5, 'UR': 6, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",24,58,304,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0555,presidente
5486,,"{'UNE': 43, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 50, 'TODOS': 0, 'VAMOS': 18, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 18, 'FCN-NACION': 2, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",38,54,300,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0556,presidente
5487,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 58, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 41, 'FCN-NACION': 7, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 9, 'VIVA': 27, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 18}",19,37,301,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0556,presidente
5488,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 46, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 48, 'FCN-NACION': 3, 'PPN': 1, 'UR': 9, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 9, 'VIVA': 25, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 22}",13,52,290,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0556,presidente
5489,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 53, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 8, 'VIVA': 23, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 20}",21,37,296,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0556,presidente
5490,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 40, 'TODOS': 1, 'VAMOS': 18, 'PHG': 2, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 50, 'FCN-NACION': 3, 'PPN': 2, 'UR': 7, 'URNG-MAIZ WINAQ': 13, 'CREO': 1, 'BIEN': 8, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 17}",25,34,298,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0557,presidente
5491,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 10, 'SEMILLA': 53, 'FCN-NACION': 2, 'PPN': 3, 'UR': 6, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 9, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 14}",18,51,303,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0557,presidente
5492,,"{'UNE': 30, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 46, 'TODOS': 2, 'VAMOS': 11, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 48, 'FCN-NACION': 3, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 2, 'BIEN': 4, 'VIVA': 22, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 17}",19,46,301,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0557,presidente
5493,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 34, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 47, 'FCN-NACION': 2, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 11}",29,39,271,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0558,presidente
5494,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 24, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 83, 'FCN-NACION': 3, 'PPN': 7, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 4, 'VIVA': 24, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 13}",11,42,298,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0558,presidente
5495,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 34, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 109, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 12, 'VIVA': 18, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 20}",12,36,303,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0558,presidente
5496,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 41, 'TODOS': 1, 'VAMOS': 24, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 104, 'FCN-NACION': 4, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",9,53,326,0,Algún campo sin dato,2.Sacatepéquez,3.Pastores,0559,presidente
5497,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 47, 'TODOS': 2, 'VAMOS': 20, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 102, 'FCN-NACION': 2, 'PPN': 4, 'UR': 6, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 13}",17,28,307,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,3.Pastores,0559,presidente
