mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5502,,"{'UNE': 58, 'AZUL': 11, 'VALOR UNIONISTA': 14, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 19, 'FCN-NACION': 3, 'PPN': 12, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",29,32,263,1,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0561,presidente
5503,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 35, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 22, 'FCN-NACION': 4, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",22,38,237,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0561,presidente
5504,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 32, 'FCN-NACION': 2, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 11}",15,26,234,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0561,presidente
5505,,"{'UNE': 23, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 7}",6,19,154,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0561,presidente
5506,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 7, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 2}",5,12,125,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0561,presidente
5507,,"{'UNE': 71, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 20, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 0}",45,43,276,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0562,presidente
5508,,"{'UNE': 73, 'AZUL': 6, 'VALOR UNIONISTA': 15, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 14, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 3, 'PPN': 32, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",36,39,276,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0562,presidente
5509,,"{'UNE': 72, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 15, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 23, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 1}",55,38,291,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0562,presidente
5510,,"{'UNE': 60, 'AZUL': 6, 'VALOR UNIONISTA': 9, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 41, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",34,37,275,0,,2.Sacatepéquez,4.Sumpango,0562,presidente
5511,,"{'UNE': 69, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 22, 'UR': 8, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 22, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 7}",26,25,260,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0562,presidente
5512,,"{'UNE': 66, 'AZUL': 7, 'VALOR UNIONISTA': 12, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 35, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",25,30,263,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0562,presidente
5513,,"{'UNE': 62, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 0, 'TODOS': 3, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 4, 'PPN': 31, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 2, 'VIVA': 26, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 3}",27,40,269,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,4.Sumpango,0562,presidente
5514,,"{'UNE': 75, 'AZUL': 9, 'VALOR UNIONISTA': 12, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 39, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",26,28,261,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0562,presidente
5515,,"{'UNE': 65, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 28, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",39,27,247,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0562,presidente
5516,,"{'UNE': 32, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 14, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",14,23,176,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0562,presidente
5517,,"{'UNE': 43, 'AZUL': 7, 'VALOR UNIONISTA': 11, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 19, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 10, 'FCN-NACION': 2, 'PPN': 20, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",13,17,182,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0562,presidente
5518,,"{'UNE': 49, 'AZUL': 7, 'VALOR UNIONISTA': 6, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 19, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",23,7,158,1,,2.Sacatepéquez,4.Sumpango,0562,presidente
5519,,"{'UNE': 11, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 27, 'TODOS': 3, 'VAMOS': 8, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 55, 'FCN-NACION': 2, 'PPN': 11, 'UR': 3, 'URNG-MAIZ WINAQ': 11, 'CREO': 3, 'BIEN': 4, 'VIVA': 35, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 16}",15,33,259,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0563,presidente
5520,,"{'UNE': 13, 'AZUL': 4, 'VALOR UNIONISTA': 12, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 4, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 12, 'UR': 7, 'URNG-MAIZ WINAQ': 15, 'CREO': 3, 'BIEN': 4, 'VIVA': 22, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 13}",13,29,246,1,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0563,presidente
5521,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 40, 'FCN-NACION': 3, 'PPN': 12, 'UR': 11, 'URNG-MAIZ WINAQ': 9, 'CREO': 4, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 16}",22,29,266,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0563,presidente
5522,,"{'UNE': 22, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 37, 'TODOS': 2, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 44, 'FCN-NACION': 2, 'PPN': 8, 'UR': 12, 'URNG-MAIZ WINAQ': 13, 'CREO': 1, 'BIEN': 5, 'VIVA': 22, 'MI FAMILIA': 16, 'CAMBIO': 0, 'VOS': 19}",13,29,274,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0563,presidente
5523,,"{'UNE': 21, 'AZUL': 5, 'VALOR UNIONISTA': 7, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 7, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 12, 'UR': 9, 'URNG-MAIZ WINAQ': 9, 'CREO': 2, 'BIEN': 6, 'VIVA': 36, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 17}",12,28,255,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0563,presidente
5524,,"{'UNE': 22, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 69, 'FCN-NACION': 3, 'PPN': 4, 'UR': 7, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 5, 'VIVA': 21, 'MI FAMILIA': 14, 'CAMBIO': 0, 'VOS': 19}",12,37,266,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0563,presidente
5525,,"{'UNE': 17, 'AZUL': 5, 'VALOR UNIONISTA': 9, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 8, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 49, 'FCN-NACION': 0, 'PPN': 5, 'UR': 14, 'URNG-MAIZ WINAQ': 10, 'CREO': 6, 'BIEN': 5, 'VIVA': 19, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 7}",14,43,258,142,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0563,presidente
5526,,"{'UNE': 17, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 29, 'TODOS': 2, 'VAMOS': 7, 'PHG': 1, 'PR': 7, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 48, 'FCN-NACION': 1, 'PPN': 14, 'UR': 3, 'URNG-MAIZ WINAQ': 14, 'CREO': 2, 'BIEN': 2, 'VIVA': 29, 'MI FAMILIA': 13, 'CAMBIO': 2, 'VOS': 13}",16,40,283,0,Algún campo sin dato,2.Sacatepéquez,4.Sumpango,0563,presidente
