mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5574,,"{'UNE': 3, 'AZUL': 3, 'VALOR UNIONISTA': 27, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 38, 'FCN-NACION': 5, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 13, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",1,16,158,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0569,presidente
5575,,"{'UNE': 2, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 0, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",2,14,144,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0569,presidente
5576,,"{'UNE': 5, 'AZUL': 4, 'VALOR UNIONISTA': 12, 'CABAL': 20, 'TODOS': 12, 'VAMOS': 4, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 28, 'FCN-NACION': 2, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 4, 'VIVA': 45, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",16,58,253,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5577,,"{'UNE': 10, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 18, 'TODOS': 12, 'VAMOS': 7, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 11, 'SEMILLA': 17, 'FCN-NACION': 3, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 1, 'VIVA': 45, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 13}",15,55,249,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5578,,"{'UNE': 7, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 24, 'TODOS': 14, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 4, 'VIVA': 39, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 20}",16,37,251,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5579,,"{'UNE': 7, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 23, 'TODOS': 19, 'VAMOS': 4, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 5, 'BIEN': 13, 'VIVA': 39, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 11}",17,49,260,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5580,,"{'UNE': 10, 'AZUL': 6, 'VALOR UNIONISTA': 14, 'CABAL': 24, 'TODOS': 20, 'VAMOS': 6, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 9, 'VICTORIA': 2, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 6, 'VIVA': 34, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",15,40,242,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5581,,"{'UNE': 5, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 24, 'TODOS': 7, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 8, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 7, 'VIVA': 45, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",13,60,251,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5582,,"{'UNE': 11, 'AZUL': 8, 'VALOR UNIONISTA': 20, 'CABAL': 34, 'TODOS': 9, 'VAMOS': 2, 'PHG': 0, 'PR': 4, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 7, 'SEMILLA': 34, 'FCN-NACION': 6, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 6, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",20,47,271,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5583,,"{'UNE': 9, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 19, 'TODOS': 13, 'VAMOS': 10, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 11, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 1, 'VIVA': 36, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 16}",20,43,262,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5584,,"{'UNE': 8, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 24, 'TODOS': 13, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 10, 'VICTORIA': 8, 'SEMILLA': 22, 'FCN-NACION': 3, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 1, 'VIVA': 25, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 12}",20,51,237,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5585,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 15, 'TODOS': 10, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 8, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 4, 'VIVA': 46, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 16}",20,32,257,8,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0570,presidente
5586,,"{'UNE': 10, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 22, 'TODOS': 15, 'VAMOS': 4, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 6, 'SEMILLA': 26, 'FCN-NACION': 4, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 3, 'VIVA': 35, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 12}",14,51,245,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0571,presidente
5587,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 22, 'TODOS': 23, 'VAMOS': 5, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 26, 'FCN-NACION': 2, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 2, 'VIVA': 46, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",13,44,257,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0571,presidente
5588,,"{'UNE': 5, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 18, 'TODOS': 15, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 7, 'VICTORIA': 7, 'SEMILLA': 33, 'FCN-NACION': 4, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 40, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",24,34,252,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0571,presidente
5589,,"{'UNE': 9, 'AZUL': 7, 'VALOR UNIONISTA': 9, 'CABAL': 21, 'TODOS': 26, 'VAMOS': 6, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 8, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 4, 'VIVA': 32, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 9}",18,40,243,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0571,presidente
5590,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 13, 'TODOS': 7, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 55, 'FCN-NACION': 3, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 6, 'VIVA': 45, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 19}",6,38,237,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0571,presidente
5591,,"{'UNE': 9, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 24, 'TODOS': 7, 'VAMOS': 6, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 25, 'FCN-NACION': 2, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 4, 'VIVA': 38, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 23}",13,36,227,0,Algún campo sin dato,2.Sacatepéquez,6.Santiago Sacatepéquez,0571,presidente
