mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5622,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 4, 'PIN': 5, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 49, 'FCN-NACION': 4, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 11, 'VIVA': 24, 'MI FAMILIA': 14, 'CAMBIO': 0, 'VOS': 18}",9,50,279,1,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5623,,"{'UNE': 13, 'AZUL': 5, 'VALOR UNIONISTA': 18, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 2, 'PIN': 11, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 4, 'VIVA': 33, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 20}",10,53,278,0,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5624,,"{'UNE': 11, 'AZUL': 11, 'VALOR UNIONISTA': 20, 'CABAL': 26, 'TODOS': 2, 'VAMOS': 6, 'PHG': 1, 'PR': 2, 'PIN': 6, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 51, 'FCN-NACION': 3, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 3, 'VIVA': 31, 'MI FAMILIA': 11, 'CAMBIO': 1, 'VOS': 27}",8,52,297,0,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5625,,"{'UNE': 15, 'AZUL': 6, 'VALOR UNIONISTA': 21, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 5, 'ELEFANTE': 8, 'VICTORIA': 2, 'SEMILLA': 50, 'FCN-NACION': 1, 'PPN': 2, 'UR': 7, 'URNG-MAIZ WINAQ': 11, 'CREO': 1, 'BIEN': 3, 'VIVA': 24, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 16}",4,38,276,0,,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5626,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 6, 'PIN': 10, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 62, 'FCN-NACION': 2, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 12, 'VIVA': 33, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 20}",6,39,268,0,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5627,,"{'UNE': 13, 'AZUL': 7, 'VALOR UNIONISTA': 17, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 5, 'PHG': 2, 'PR': 2, 'PIN': 10, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 49, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 8, 'VIVA': 31, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 34}",6,35,276,0,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5628,,"{'UNE': 18, 'AZUL': 5, 'VALOR UNIONISTA': 17, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 2, 'PIN': 6, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 60, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 17, 'VIVA': 19, 'MI FAMILIA': 11, 'CAMBIO': 0, 'VOS': 27}",5,39,268,0,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5629,,"{'UNE': 27, 'AZUL': 7, 'VALOR UNIONISTA': 20, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 3, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 49, 'FCN-NACION': 4, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 6, 'VIVA': 19, 'MI FAMILIA': 17, 'CAMBIO': 0, 'VOS': 18}",11,37,271,0,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5630,,"{'UNE': 8, 'AZUL': 7, 'VALOR UNIONISTA': 16, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 5, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 52, 'FCN-NACION': 1, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 8, 'VIVA': 30, 'MI FAMILIA': 8, 'CAMBIO': 1, 'VOS': 31}",12,38,259,1,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5631,,"{'UNE': 10, 'AZUL': 6, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 3, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 86, 'FCN-NACION': 3, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 19, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 25}",5,33,257,0,,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5632,,"{'UNE': 12, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 5, 'PHG': 0, 'PR': 2, 'PIN': 7, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 125, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 12, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 31}",4,23,296,0,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5633,,"{'UNE': 6, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 5, 'PHG': 1, 'PR': 1, 'PIN': 4, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 98, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 8, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 19}",2,35,234,0,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5634,,"{'UNE': 14, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 8, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 65, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 14}",5,28,212,2,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0580,presidente
5635,,"{'UNE': 4, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 9}",2,12,103,0,Algún campo sin dato,2.Sacatepéquez,7.San Bartolomé Milpas Altas,0581,presidente
