mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5636,,"{'UNE': 20, 'AZUL': 5, 'VALOR UNIONISTA': 29, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 7, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 56, 'FCN-NACION': 0, 'PPN': 6, 'UR': 7, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 9, 'VIVA': 21, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 28}",5,50,287,1,Algún campo sin dato,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
5637,,"{'UNE': 23, 'AZUL': 5, 'VALOR UNIONISTA': 18, 'CABAL': 21, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 63, 'FCN-NACION': 2, 'PPN': 5, 'UR': 8, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 12, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 24}",3,57,292,0,Algún campo sin dato,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
5638,,"{'UNE': 19, 'AZUL': 5, 'VALOR UNIONISTA': 30, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 5, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 62, 'FCN-NACION': 1, 'PPN': 5, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 11, 'VIVA': 18, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 21}",8,40,277,0,Algún campo sin dato,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
5639,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 26, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 7, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 63, 'FCN-NACION': 1, 'PPN': 8, 'UR': 6, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 9, 'VIVA': 24, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 25}",11,34,288,0,Algún campo sin dato,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
5640,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 9, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 58, 'FCN-NACION': 2, 'PPN': 3, 'UR': 6, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 17, 'VIVA': 13, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 25}",6,44,282,0,Algún campo sin dato,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
5641,,"{'UNE': 24, 'AZUL': 6, 'VALOR UNIONISTA': 32, 'CABAL': 14, 'TODOS': 4, 'VAMOS': 8, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 75, 'FCN-NACION': 0, 'PPN': 9, 'UR': 5, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 12, 'VIVA': 12, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 27}",3,27,285,0,Algún campo sin dato,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
5642,,"{'UNE': 16, 'AZUL': 5, 'VALOR UNIONISTA': 26, 'CABAL': 30, 'TODOS': 5, 'VAMOS': 11, 'PHG': 1, 'PR': 4, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 61, 'FCN-NACION': 2, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 8, 'VIVA': 17, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 37}",2,36,286,0,Algún campo sin dato,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
5643,,"{'UNE': 27, 'AZUL': 3, 'VALOR UNIONISTA': 37, 'CABAL': 26, 'TODOS': 4, 'VAMOS': 7, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 63, 'FCN-NACION': 2, 'PPN': 6, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 13, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 6, 'VOS': 19}",4,56,323,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
5644,,"{'UNE': 20, 'AZUL': 10, 'VALOR UNIONISTA': 21, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 8, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 53, 'FCN-NACION': 2, 'PPN': 3, 'UR': 7, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 26}",2,52,284,0,Sumas Asentadas sin cuadrar,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
5645,,"{'UNE': 14, 'AZUL': 5, 'VALOR UNIONISTA': 25, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 61, 'FCN-NACION': 3, 'PPN': 1, 'UR': 7, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 10, 'VIVA': 21, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 22}",4,40,262,0,Algún campo sin dato,2.Sacatepéquez,8.San Lucas Sacatepéquez,0582,presidente
