mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5681,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 9, 'SEMILLA': 45, 'FCN-NACION': 6, 'PPN': 9, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 20}",11,64,287,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5682,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 49, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 58, 'FCN-NACION': 2, 'PPN': 9, 'UR': 8, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 27, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 12}",26,55,306,1,Sumas Asentadas sin cuadrar,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5683,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 25, 'CABAL': 49, 'TODOS': 3, 'VAMOS': 5, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 8, 'SEMILLA': 40, 'FCN-NACION': 3, 'PPN': 8, 'UR': 17, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 9, 'VIVA': 20, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 17}",21,55,325,75,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5684,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 55, 'TODOS': 0, 'VAMOS': 8, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 35, 'FCN-NACION': 2, 'PPN': 9, 'UR': 9, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 7, 'VIVA': 22, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 16}",15,62,305,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5685,,"{'UNE': 23, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 71, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 45, 'FCN-NACION': 2, 'PPN': 11, 'UR': 8, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 3, 'VIVA': 26, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 18}",23,49,326,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5686,,"{'UNE': 10, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 43, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 64, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 4, 'BIEN': 8, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",20,46,287,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5687,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 50, 'TODOS': 2, 'VAMOS': 5, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 53, 'FCN-NACION': 3, 'PPN': 9, 'UR': 7, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 10, 'VIVA': 24, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 17}",10,50,298,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5688,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 50, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 59, 'FCN-NACION': 1, 'PPN': 7, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 12, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 23}",9,34,281,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5689,,"{'UNE': 19, 'AZUL': 5, 'VALOR UNIONISTA': 7, 'CABAL': 53, 'TODOS': 0, 'VAMOS': 5, 'PHG': 16, 'PR': 9, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 65, 'FCN-NACION': 1, 'PPN': 10, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 8, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 23}",11,40,293,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5690,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 37, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 54, 'FCN-NACION': 1, 'PPN': 5, 'UR': 7, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 9, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 16}",19,46,279,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5691,,"{'UNE': 14, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 46, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 77, 'FCN-NACION': 3, 'PPN': 11, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 4, 'CAMBIO': 3, 'VOS': 19}",11,40,290,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
5692,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 47, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 104, 'FCN-NACION': 2, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 22}",13,53,302,0,Algún campo sin dato,2.Sacatepéquez,9.Santa Lucía Milpas Altas,0588,presidente
