mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22354,,"{'UNE': 20, 'AZUL': 4, 'VALOR UNIONISTA': 34, 'CABAL': 19, 'TODOS': 2, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 9, 'VICTORIA': 3, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 13, 'VIVA': 10, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 30}",3,41,253,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3485,presidente
22355,,"{'UNE': 19, 'AZUL': 14, 'VALOR UNIONISTA': 25, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 3, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 12, 'VIVA': 9, 'MI FAMILIA': 6, 'CAMBIO': 3, 'VOS': 22}",5,53,254,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3485,presidente
22356,,"{'UNE': 18, 'AZUL': 7, 'VALOR UNIONISTA': 33, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 11, 'VICTORIA': 6, 'SEMILLA': 33, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 14, 'VIVA': 7, 'MI FAMILIA': 10, 'CAMBIO': 3, 'VOS': 27}",2,49,259,1,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3485,presidente
22357,,"{'UNE': 23, 'AZUL': 13, 'VALOR UNIONISTA': 31, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 10, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 5, 'SEMILLA': 35, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 12, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 5, 'VOS': 28}",5,50,262,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3485,presidente
22358,,"{'UNE': 18, 'AZUL': 6, 'VALOR UNIONISTA': 28, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 6, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 11, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 30}",6,56,268,1,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3485,presidente
22359,,"{'UNE': 15, 'AZUL': 3, 'VALOR UNIONISTA': 29, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 5, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 21, 'VIVA': 12, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 25}",2,54,254,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3485,presidente
22360,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 10, 'VICTORIA': 2, 'SEMILLA': 73, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 19, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 3, 'VOS': 24}",1,33,251,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3486,presidente
22361,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 30, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 2, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 16, 'VIVA': 13, 'MI FAMILIA': 4, 'CAMBIO': 2, 'VOS': 31}",2,57,245,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3486,presidente
22362,,"{'UNE': 12, 'AZUL': 6, 'VALOR UNIONISTA': 20, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 10, 'VICTORIA': 2, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 6, 'BIEN': 11, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 33}",2,55,244,0,,20.Chiquimula,1.Chiquimula,3486,presidente
22363,,"{'UNE': 22, 'AZUL': 5, 'VALOR UNIONISTA': 19, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 10, 'VICTORIA': 7, 'SEMILLA': 51, 'FCN-NACION': 1, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 8, 'VIVA': 10, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 31}",6,50,268,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3486,presidente
22364,,"{'UNE': 20, 'AZUL': 6, 'VALOR UNIONISTA': 23, 'CABAL': 22, 'TODOS': 2, 'VAMOS': 12, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 26, 'VIVA': 5, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 29}",1,50,260,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3486,presidente
22365,,"{'UNE': 9, 'AZUL': 8, 'VALOR UNIONISTA': 16, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 3, 'SEMILLA': 123, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 12, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 21}",3,31,262,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3486,presidente
22366,,"{'UNE': 6, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 102, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 16, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 20}",0,25,225,0,Algún campo sin dato,20.Chiquimula,1.Chiquimula,3487,presidente
