mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23008,,"{'UNE': 47, 'AZUL': 7, 'VALOR UNIONISTA': 2, 'CABAL': 10, 'TODOS': 3, 'VAMOS': 5, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 5, 'CAMBIO': 9, 'VOS': 1}",36,2,162,60,Algún campo sin dato,20.Chiquimula,11.Ipala,3615,presidente
23009,,"{'UNE': 57, 'AZUL': 8, 'VALOR UNIONISTA': 13, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 16, 'VOS': 1}",41,51,241,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3615,presidente
23010,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 34, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 2, 'MI FAMILIA': 3, 'CAMBIO': 21, 'VOS': 4}",49,60,243,0,,20.Chiquimula,11.Ipala,3615,presidente
23011,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 7, 'VOS': 4}",20,60,187,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3615,presidente
23012,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 4, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 2}",4,37,111,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3615,presidente
23013,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 9, 'VOS': 0}",18,18,105,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3615,presidente
23014,,"{'UNE': 46, 'AZUL': 13, 'VALOR UNIONISTA': 7, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 12, 'VOS': 1}",36,101,253,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3616,presidente
23015,,"{'UNE': 53, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 11, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 2, 'CAMBIO': 7, 'VOS': 3}",28,69,214,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3616,presidente
23016,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 4, 'VOS': 3}",14,36,106,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3616,presidente
23017,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 5, 'VOS': 1}",6,37,100,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3616,presidente
23018,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 18, 'VOS': 2}",33,57,200,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3617,presidente
23019,,"{'UNE': 43, 'AZUL': 10, 'VALOR UNIONISTA': 12, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 19, 'VOS': 1}",43,67,253,0,Sumas Asentadas sin cuadrar,20.Chiquimula,11.Ipala,3617,presidente
23020,,"{'UNE': 46, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 17, 'VOS': 6}",24,57,219,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3617,presidente
23021,,"{'UNE': 14, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 13, 'VOS': 3}",12,38,124,1,Algún campo sin dato,20.Chiquimula,11.Ipala,3617,presidente
23022,,"{'UNE': 19, 'AZUL': 4, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 8, 'VOS': 5}",8,35,116,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3617,presidente
23023,,"{'UNE': 77, 'AZUL': 12, 'VALOR UNIONISTA': 6, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 6, 'VOS': 4}",24,62,264,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3618,presidente
23024,,"{'UNE': 48, 'AZUL': 5, 'VALOR UNIONISTA': 12, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 5, 'VOS': 6}",17,49,193,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3618,presidente
23025,,"{'UNE': 51, 'AZUL': 7, 'VALOR UNIONISTA': 5, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 13, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 4, 'VOS': 4}",12,49,192,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3618,presidente
23026,,"{'UNE': 31, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 10, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 9, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 9, 'VOS': 13}",12,38,212,18,Algún campo sin dato,20.Chiquimula,11.Ipala,3619,presidente
23027,,"{'UNE': 60, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 48, 'FCN-NACION': 2, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 8, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 13, 'VOS': 10}",11,65,290,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3619,presidente
23028,,"{'UNE': 38, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 14, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 15, 'VOS': 15}",15,57,240,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3619,presidente
23029,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 5, 'VOS': 14}",8,44,185,1,Algún campo sin dato,20.Chiquimula,11.Ipala,3619,presidente
23030,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 52, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 8, 'VOS': 6}",6,38,170,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3619,presidente
23031,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 11, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 14, 'VOS': 9}",28,85,284,0,Algún campo sin dato,20.Chiquimula,11.Ipala,3620,presidente
23032,,"{'UNE': 51, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 33, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 5, 'BIEN': 13, 'VIVA': 8, 'MI FAMILIA': 5, 'CAMBIO': 13, 'VOS': 5}",21,81,296,0,,20.Chiquimula,11.Ipala,3620,presidente
23033,,"{'UNE': 33, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 9, 'VIVA': 3, 'MI FAMILIA': 3, 'CAMBIO': 13, 'VOS': 15}",11,72,250,1,Sumas Asentadas sin cuadrar,20.Chiquimula,11.Ipala,3620,presidente
