mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22528,,"{'UNE': 71, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 39, 'TODOS': 2, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 7}",34,84,289,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3514,presidente
22529,,"{'UNE': 72, 'AZUL': 6, 'VALOR UNIONISTA': 12, 'CABAL': 45, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 4}",54,78,297,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3514,presidente
22530,,"{'UNE': 72, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 6, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 1}",53,97,318,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3514,presidente
22531,,"{'UNE': 48, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 41, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",31,85,269,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3514,presidente
22532,,"{'UNE': 45, 'AZUL': 6, 'VALOR UNIONISTA': 13, 'CABAL': 42, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 4, 'VIVA': 4, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 9}",29,80,277,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3514,presidente
22533,,"{'UNE': 52, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 37, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 6, 'VIVA': 4, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 5}",52,65,270,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3514,presidente
22534,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 42, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",18,94,281,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3514,presidente
22535,,"{'UNE': 51, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 28, 'TODOS': 0, 'VAMOS': 4, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 3}",45,79,253,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3514,presidente
22536,,"{'UNE': 50, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",40,105,265,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22537,,"{'UNE': 49, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 22, 'TODOS': 3, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 7, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",58,94,279,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22538,,"{'UNE': 51, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 6, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 4}",55,128,296,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22539,,"{'UNE': 61, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 39, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 4, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",71,87,310,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22540,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",92,89,284,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22541,,"{'UNE': 56, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",37,90,262,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22542,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",39,80,232,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22543,,"{'UNE': 47, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 6, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",31,94,245,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22544,,"{'UNE': 67, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",17,102,273,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22545,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 2, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 3}",21,74,200,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22546,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 13, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 3, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 3}",11,58,146,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3515,presidente
22547,,"{'UNE': 4, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 0, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",11,20,55,0,Algún campo sin dato,20.Chiquimula,2.San José La Arada,3516,presidente
