mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22548,,"{'UNE': 100, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 37, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 10, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",29,43,279,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3517,presidente
22549,,"{'UNE': 90, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 56, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",42,57,297,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3517,presidente
22550,,"{'UNE': 107, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 43, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",34,52,280,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3517,presidente
22551,,"{'UNE': 85, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 55, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",39,42,283,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3517,presidente
22552,,"{'UNE': 105, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 76, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 35, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",28,45,315,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3517,presidente
22553,,"{'UNE': 112, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 74, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",20,44,309,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3518,presidente
22554,,"{'UNE': 105, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 0, 'TODOS': 1, 'VAMOS': 73, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 54, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",35,41,331,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3518,presidente
22555,,"{'UNE': 108, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 75, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",27,45,322,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3518,presidente
22556,,"{'UNE': 85, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 58, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",36,58,300,1,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3518,presidente
22557,,"{'UNE': 86, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 39, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",10,37,244,0,Sumas Asentadas sin cuadrar,20.Chiquimula,3.San Juan Ermita,3518,presidente
22558,,"{'UNE': 70, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 38, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",17,60,245,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3518,presidente
22559,,"{'UNE': 89, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 43, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",17,38,236,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3519,presidente
22560,,"{'UNE': 69, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 47, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",17,43,251,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3519,presidente
22561,,"{'UNE': 63, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 56, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",22,42,261,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3519,presidente
22562,,"{'UNE': 110, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 35, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 13, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 38, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",10,57,279,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3519,presidente
22563,,"{'UNE': 98, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 82, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 2}",16,32,278,0,Sumas Asentadas sin cuadrar,20.Chiquimula,3.San Juan Ermita,3519,presidente
22564,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 5}",10,28,153,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3520,presidente
22565,,"{'UNE': 40, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 33, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",22,17,139,8,Sumas Asentadas sin cuadrar,20.Chiquimula,3.San Juan Ermita,3520,presidente
22566,,"{'UNE': 101, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 47, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 22, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 0}",30,31,248,2,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3521,presidente
22567,,"{'UNE': 101, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 74, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",21,35,282,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3521,presidente
22568,,"{'UNE': 118, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 3, 'VAMOS': 58, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 0, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",29,31,280,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3521,presidente
22569,,"{'UNE': 112, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 0, 'TODOS': 3, 'VAMOS': 74, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 2}",32,31,290,2,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3521,presidente
22570,,"{'UNE': 95, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 46, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 5}",42,37,269,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3521,presidente
22571,,"{'UNE': 99, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 54, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",49,35,288,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3521,presidente
22572,,"{'UNE': 73, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 52, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",16,39,227,1,Sumas Asentadas sin cuadrar,20.Chiquimula,3.San Juan Ermita,3522,presidente
22573,,"{'UNE': 94, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 44, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",21,29,232,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3522,presidente
22574,,"{'UNE': 107, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 51, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 22, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",14,41,248,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3522,presidente
22575,,"{'UNE': 67, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 49, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",13,16,172,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3523,presidente
22576,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 49, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",10,18,159,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3523,presidente
22577,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 2, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",1,3,29,0,Algún campo sin dato,20.Chiquimula,3.San Juan Ermita,3524,presidente
