mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22578,,"{'UNE': 92, 'AZUL': 8, 'VALOR UNIONISTA': 20, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 17}",13,53,255,0,Algún campo sin dato,20.Chiquimula,4.Jocotán,3525,presidente
22579,,"{'UNE': 99, 'AZUL': 16, 'VALOR UNIONISTA': 19, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 40, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 7}",37,26,274,0,Algún campo sin dato,20.Chiquimula,4.Jocotán,3525,presidente
22580,,"{'UNE': 120, 'AZUL': 12, 'VALOR UNIONISTA': 27, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",28,43,268,0,Algún campo sin dato,20.Chiquimula,4.Jocotán,3525,presidente
22581,,"{'UNE': 99, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 8}",29,36,233,0,Algún campo sin dato,20.Chiquimula,4.Jocotán,3526,presidente
22582,,"{'UNE': 95, 'AZUL': 4, 'VALOR UNIONISTA': 31, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 29, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 14}",10,54,291,0,Algún campo sin dato,20.Chiquimula,4.Jocotán,3526,presidente
22583,,"{'UNE': 112, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",9,52,284,0,Sumas Asentadas sin cuadrar,20.Chiquimula,4.Jocotán,3526,presidente
22584,,"{'UNE': 71, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 11}",28,35,235,0,Sumas Asentadas sin cuadrar,20.Chiquimula,4.Jocotán,3526,presidente
22585,,"{'UNE': 94, 'AZUL': 4, 'VALOR UNIONISTA': 22, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 26, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",16,35,236,0,Algún campo sin dato,20.Chiquimula,4.Jocotán,3526,presidente
22586,,"{'UNE': 98, 'AZUL': 10, 'VALOR UNIONISTA': 25, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 40, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 4}",28,19,259,0,Algún campo sin dato,20.Chiquimula,4.Jocotán,3526,presidente
22587,,"{'UNE': 98, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 0, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",11,34,231,0,Algún campo sin dato,20.Chiquimula,4.Jocotán,3526,presidente
