mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22683,,"{'UNE': 64, 'AZUL': 6, 'VALOR UNIONISTA': 3, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 41, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 18, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 10, 'MI FAMILIA': 9, 'CAMBIO': 3, 'VOS': 11}",17,62,269,0,Algún campo sin dato,20.Chiquimula,5.Camotán,3543,presidente
22684,,"{'UNE': 82, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 39, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 26, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 13, 'CAMBIO': 0, 'VOS': 3}",26,49,277,0,Algún campo sin dato,20.Chiquimula,5.Camotán,3543,presidente
22685,,"{'UNE': 71, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 45, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 26, 'VICTORIA': 1, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 8, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 10}",28,61,284,0,Sumas Asentadas sin cuadrar,20.Chiquimula,5.Camotán,3543,presidente
22686,,"{'UNE': 68, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 3, 'TODOS': 3, 'VAMOS': 39, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 13, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 4, 'BIEN': 4, 'VIVA': 9, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 5}",13,61,270,0,Algún campo sin dato,20.Chiquimula,5.Camotán,3543,presidente
22687,,"{'UNE': 61, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 11, 'VICTORIA': 4, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 18}",14,53,240,0,,20.Chiquimula,5.Camotán,3543,presidente
22688,,"{'UNE': 66, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 0, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 9, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 8}",15,84,267,0,Algún campo sin dato,20.Chiquimula,5.Camotán,3543,presidente
22689,,"{'UNE': 57, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 22, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 13, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 4, 'VIVA': 10, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",16,54,226,0,Algún campo sin dato,20.Chiquimula,5.Camotán,3543,presidente
22690,,"{'UNE': 74, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 15, 'VICTORIA': 0, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",10,36,221,0,Algún campo sin dato,20.Chiquimula,5.Camotán,3543,presidente
22691,,"{'UNE': 66, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 4, 'TODOS': 2, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 20, 'VICTORIA': 0, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 5, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 3}",10,38,182,0,Algún campo sin dato,20.Chiquimula,5.Camotán,3544,presidente
22692,,"{'UNE': 56, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 10, 'VICTORIA': 0, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 2, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 3}",6,21,151,0,Algún campo sin dato,20.Chiquimula,5.Camotán,3544,presidente
