mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22768,,"{'UNE': 87, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 14, 'VOS': 2}",27,43,270,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22769,,"{'UNE': 68, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 21, 'TODOS': 3, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 22, 'VOS': 3}",34,41,261,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22770,,"{'UNE': 118, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 30, 'TODOS': 2, 'VAMOS': 38, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 14, 'VOS': 0}",30,37,310,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22771,,"{'UNE': 84, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 55, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 18, 'VOS': 2}",30,31,279,121,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22772,,"{'UNE': 96, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 36, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 6, 'VICTORIA': 0, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 3}",40,46,294,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22773,,"{'UNE': 77, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 58, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 6, 'VIVA': 20, 'MI FAMILIA': 4, 'CAMBIO': 16, 'VOS': 2}",21,47,308,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22774,,"{'UNE': 79, 'AZUL': 0, 'VALOR UNIONISTA': 12, 'CABAL': 26, 'TODOS': 3, 'VAMOS': 41, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 11, 'VOS': 10}",29,50,311,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22775,,"{'UNE': 76, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 13, 'VOS': 6}",18,38,264,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22776,,"{'UNE': 55, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 35, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 0, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 9, 'VOS': 3}",14,56,235,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22777,,"{'UNE': 62, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 30, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 9, 'VOS': 2}",23,46,237,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3569,presidente
22778,,"{'UNE': 64, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 47, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 19, 'VOS': 2}",17,44,254,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3570,presidente
22779,,"{'UNE': 83, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 33, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 4, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 16, 'VOS': 6}",21,42,268,0,Algún campo sin dato,20.Chiquimula,6.Olopa,3570,presidente
