mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22810,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 21, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 34, 'FCN-NACION': 2, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 11, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 44}",20,66,279,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3574,presidente
22811,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 38, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 56, 'FCN-NACION': 3, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 8, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 22}",14,80,294,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3574,presidente
22812,,"{'UNE': 27, 'AZUL': 4, 'VALOR UNIONISTA': 28, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 13, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 14, 'VIVA': 10, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 31}",14,79,307,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3574,presidente
22813,,"{'UNE': 16, 'AZUL': 3, 'VALOR UNIONISTA': 35, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 9, 'VIVA': 5, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 33}",9,74,282,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3574,presidente
22814,,"{'UNE': 15, 'AZUL': 5, 'VALOR UNIONISTA': 41, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 15, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 17, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 40}",13,70,298,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3575,presidente
22815,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 11, 'PHG': 1, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 12, 'VIVA': 7, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 38}",15,75,290,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3575,presidente
22816,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 31, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 45, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 41}",11,56,251,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3575,presidente
22817,,"{'UNE': 17, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 10, 'TODOS': 3, 'VAMOS': 12, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 12, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 36}",14,64,257,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3575,presidente
22818,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 33, 'CABAL': 10, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 10, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 32}",11,54,235,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3576,presidente
22819,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 32, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 15, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 34}",9,62,258,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3576,presidente
22820,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 16, 'VIVA': 6, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 40}",21,61,260,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3576,presidente
22821,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 13, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 34}",11,73,269,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3576,presidente
22822,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 28, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 7, 'SEMILLA': 48, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 9, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 33}",16,69,272,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3577,presidente
22823,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 13, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 27}",16,65,247,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3577,presidente
22824,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 67, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 11, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 36}",5,46,253,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3577,presidente
22825,,"{'UNE': 6, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 88, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",2,51,221,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3577,presidente
22826,,"{'UNE': 6, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 12, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 107, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 10, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 26}",4,24,229,5,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3578,presidente
22827,,"{'UNE': 9, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 15, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 83, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 9, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 27}",7,33,218,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3578,presidente
22828,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 23, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 81, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 14, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 27}",7,42,253,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3578,presidente
22829,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 72, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 23}",6,41,191,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3578,presidente
22830,,"{'UNE': 9, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 8, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",7,40,138,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3578,presidente
22831,,"{'UNE': 23, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 13, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 6, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 31}",27,72,254,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3579,presidente
22832,,"{'UNE': 21, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 12, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 4, 'BIEN': 12, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 34}",14,95,282,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3579,presidente
22833,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 2, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 42}",18,79,257,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3579,presidente
22834,,"{'UNE': 24, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 39, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 8, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",17,63,232,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3580,presidente
22835,,"{'UNE': 21, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 15, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 22, 'FCN-NACION': 4, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 7, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 27}",24,49,241,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3580,presidente
22836,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 47, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 11, 'VIVA': 1, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 24}",5,50,199,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3580,presidente
22837,,"{'UNE': 12, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 56, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 25}",5,34,176,0,Algún campo sin dato,20.Chiquimula,7.Esquipulas,3580,presidente
