mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22893,,"{'UNE': 17, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",23,77,219,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3591,presidente
22894,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",30,67,211,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3591,presidente
22895,,"{'UNE': 21, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 50, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 7}",25,87,242,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3591,presidente
22896,,"{'UNE': 12, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 69, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 3, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",40,82,261,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3591,presidente
22897,,"{'UNE': 31, 'AZUL': 6, 'VALOR UNIONISTA': 3, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",30,79,230,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3591,presidente
22898,,"{'UNE': 23, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 48, 'TODOS': 0, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",34,112,268,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3591,presidente
22899,,"{'UNE': 24, 'AZUL': 5, 'VALOR UNIONISTA': 8, 'CABAL': 37, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",31,101,254,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3592,presidente
22900,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 53, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",41,89,261,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3592,presidente
22901,,"{'UNE': 11, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",33,89,231,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3592,presidente
22902,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",18,69,184,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3592,presidente
22903,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",25,82,208,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3593,presidente
22904,,"{'UNE': 20, 'AZUL': 6, 'VALOR UNIONISTA': 8, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",19,79,203,0,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3593,presidente
22905,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",24,71,198,1,Algún campo sin dato,20.Chiquimula,8.Concepción Las Minas,3593,presidente
