mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
22923,,"{'UNE': 103, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 19, 'PHG': 1, 'PR': 3, 'PIN': 2, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 5, 'VOS': 6}",46,56,313,0,Algún campo sin dato,20.Chiquimula,9.Quezaltepeque,3597,presidente
22924,,"{'UNE': 70, 'AZUL': 3, 'VALOR UNIONISTA': 4, 'CABAL': 2, 'TODOS': 3, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 9, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",30,59,266,0,,20.Chiquimula,9.Quezaltepeque,3597,presidente
22925,,"{'UNE': 72, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 53, 'FCN-NACION': 3, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 8}",13,54,280,0,,20.Chiquimula,9.Quezaltepeque,3597,presidente
22926,,"{'UNE': 70, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 5, 'VAMOS': 34, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 4, 'BIEN': 8, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 12}",25,65,296,0,Algún campo sin dato,20.Chiquimula,9.Quezaltepeque,3598,presidente
22927,,"{'UNE': 58, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 7, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 5, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",18,86,310,0,Algún campo sin dato,20.Chiquimula,9.Quezaltepeque,3598,presidente
22928,,"{'UNE': 85, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 33, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 19}",18,62,302,0,Algún campo sin dato,20.Chiquimula,9.Quezaltepeque,3598,presidente
22929,,"{'UNE': 65, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 25}",27,76,315,0,Algún campo sin dato,20.Chiquimula,9.Quezaltepeque,3598,presidente
22930,,"{'UNE': 68, 'AZUL': 1, 'VALOR UNIONISTA': 23, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 19, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 5, 'BIEN': 11, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",20,82,317,1,Algún campo sin dato,20.Chiquimula,9.Quezaltepeque,3598,presidente
22931,,"{'UNE': 67, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 11, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 11}",22,68,292,0,,20.Chiquimula,9.Quezaltepeque,3598,presidente
22932,,"{'UNE': 42, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 45, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 11, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",21,55,257,0,Algún campo sin dato,20.Chiquimula,9.Quezaltepeque,3598,presidente
22933,,"{'UNE': 53, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 29, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 5, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 13}",13,72,282,0,Algún campo sin dato,20.Chiquimula,9.Quezaltepeque,3598,presidente
22934,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 23}",8,59,270,0,Algún campo sin dato,20.Chiquimula,9.Quezaltepeque,3598,presidente
