mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23265,,"{'UNE': 52, 'AZUL': 11, 'VALOR UNIONISTA': 19, 'CABAL': 14, 'TODOS': 5, 'VAMOS': 36, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 7, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",32,46,258,0,Algún campo sin dato,21.Jalapa,2.San Pedro Pinula,3651,presidente
23266,,"{'UNE': 66, 'AZUL': 8, 'VALOR UNIONISTA': 28, 'CABAL': 14, 'TODOS': 7, 'VAMOS': 31, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 12, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 3}",37,49,269,0,Algún campo sin dato,21.Jalapa,2.San Pedro Pinula,3651,presidente
23267,,"{'UNE': 76, 'AZUL': 10, 'VALOR UNIONISTA': 27, 'CABAL': 12, 'TODOS': 11, 'VAMOS': 26, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",19,51,266,0,Algún campo sin dato,21.Jalapa,2.San Pedro Pinula,3651,presidente
23268,,"{'UNE': 65, 'AZUL': 14, 'VALOR UNIONISTA': 36, 'CABAL': 11, 'TODOS': 6, 'VAMOS': 44, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 10, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",41,33,285,1,Algún campo sin dato,21.Jalapa,2.San Pedro Pinula,3651,presidente
23269,,"{'UNE': 54, 'AZUL': 8, 'VALOR UNIONISTA': 62, 'CABAL': 10, 'TODOS': 5, 'VAMOS': 16, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",49,60,293,0,Algún campo sin dato,21.Jalapa,2.San Pedro Pinula,3651,presidente
23270,,"{'UNE': 65, 'AZUL': 10, 'VALOR UNIONISTA': 37, 'CABAL': 19, 'TODOS': 6, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 2, 'FCN-NACION': 3, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 2}",36,52,280,0,Algún campo sin dato,21.Jalapa,2.San Pedro Pinula,3652,presidente
23271,,"{'UNE': 58, 'AZUL': 4, 'VALOR UNIONISTA': 22, 'CABAL': 35, 'TODOS': 5, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 6, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 1}",43,35,252,0,Algún campo sin dato,21.Jalapa,2.San Pedro Pinula,3652,presidente
23272,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,,21.Jalapa,2.San Pedro Pinula,3653,presidente
23273,,"{'UNE': 71, 'AZUL': 13, 'VALOR UNIONISTA': 30, 'CABAL': 18, 'TODOS': 6, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",22,44,257,0,Algún campo sin dato,21.Jalapa,2.San Pedro Pinula,3653,presidente
23274,,"{'UNE': 54, 'AZUL': 4, 'VALOR UNIONISTA': 20, 'CABAL': 13, 'TODOS': 4, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",39,43,224,0,,21.Jalapa,2.San Pedro Pinula,3654,presidente
