mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23349,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",95,101,327,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23350,,"{'UNE': 30, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 6, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",78,86,333,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23351,,"{'UNE': 23, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",83,97,321,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23352,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 12, 'TODOS': 2, 'VAMOS': 13, 'PHG': 1, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",87,94,336,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23353,,"{'UNE': 28, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 17, 'TODOS': 0, 'VAMOS': 9, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 32, 'FCN-NACION': 3, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 6, 'BIEN': 6, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 7}",102,94,346,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23354,,"{'UNE': 24, 'AZUL': 5, 'VALOR UNIONISTA': 12, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 7, 'VIVA': 24, 'MI FAMILIA': 4, 'CAMBIO': 2, 'VOS': 6}",72,87,321,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23355,,"{'UNE': 34, 'AZUL': 5, 'VALOR UNIONISTA': 18, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 5, 'PHG': 1, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",68,84,321,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23356,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 12, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 49, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 12, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",31,95,265,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23357,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",55,85,265,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23358,,"{'UNE': 24, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 33, 'FCN-NACION': 2, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",52,83,276,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23359,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 9, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",70,94,300,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23360,,"{'UNE': 21, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 17, 'TODOS': 1, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 12, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",88,83,309,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23361,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 21, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 46, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 5, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 15}",77,79,323,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23362,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",87,105,319,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23363,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 3}",80,93,306,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23364,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 26, 'CABAL': 15, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 14, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",94,70,313,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23365,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 6}",81,78,277,0,Sumas Asentadas sin cuadrar,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
23366,,"{'UNE': 20, 'AZUL': 5, 'VALOR UNIONISTA': 9, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 83, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 11}",33,88,290,0,Algún campo sin dato,21.Jalapa,3.San Luis Jilotepeque,3666,presidente
