mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23398,,"{'UNE': 24, 'AZUL': 3, 'VALOR UNIONISTA': 46, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",45,70,292,0,Algún campo sin dato,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
23399,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 47, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",61,59,308,0,Algún campo sin dato,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
23400,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 48, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 26, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",54,64,309,0,Algún campo sin dato,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
23401,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 33, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 26, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",66,69,312,0,Algún campo sin dato,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
23402,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 35, 'CABAL': 57, 'TODOS': 1, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",37,87,328,0,Algún campo sin dato,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
23403,,"{'UNE': 41, 'AZUL': 1, 'VALOR UNIONISTA': 41, 'CABAL': 47, 'TODOS': 0, 'VAMOS': 44, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",52,53,317,0,Algún campo sin dato,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
23404,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 30, 'CABAL': 44, 'TODOS': 0, 'VAMOS': 41, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 3, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",42,72,301,0,Algún campo sin dato,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
23405,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 44, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 52, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",44,73,308,0,Sumas Asentadas sin cuadrar,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
23406,,"{'UNE': 39, 'AZUL': 3, 'VALOR UNIONISTA': 32, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",27,69,269,0,Algún campo sin dato,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
23407,,"{'UNE': 28, 'AZUL': 2, 'VALOR UNIONISTA': 29, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 32, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 8, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",30,68,266,0,Algún campo sin dato,21.Jalapa,4.San Manuel Chaparrón,3677,presidente
