mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23416,,"{'UNE': 61, 'AZUL': 15, 'VALOR UNIONISTA': 12, 'CABAL': 70, 'TODOS': 1, 'VAMOS': 48, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",60,28,324,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
23417,,"{'UNE': 51, 'AZUL': 7, 'VALOR UNIONISTA': 6, 'CABAL': 89, 'TODOS': 1, 'VAMOS': 47, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 1}",74,36,343,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
23418,,"{'UNE': 63, 'AZUL': 10, 'VALOR UNIONISTA': 6, 'CABAL': 63, 'TODOS': 1, 'VAMOS': 51, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",66,37,321,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
23419,,"{'UNE': 53, 'AZUL': 13, 'VALOR UNIONISTA': 4, 'CABAL': 76, 'TODOS': 0, 'VAMOS': 50, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",70,41,343,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
23420,,"{'UNE': 64, 'AZUL': 14, 'VALOR UNIONISTA': 4, 'CABAL': 64, 'TODOS': 0, 'VAMOS': 42, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 2, 'VIVA': 1, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",53,61,332,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
23421,,"{'UNE': 73, 'AZUL': 14, 'VALOR UNIONISTA': 8, 'CABAL': 61, 'TODOS': 0, 'VAMOS': 41, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",40,42,307,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
23422,,"{'UNE': 54, 'AZUL': 16, 'VALOR UNIONISTA': 5, 'CABAL': 51, 'TODOS': 1, 'VAMOS': 39, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",55,36,289,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
23423,,"{'UNE': 57, 'AZUL': 3, 'VALOR UNIONISTA': 9, 'CABAL': 46, 'TODOS': 0, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",65,45,291,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
23424,,"{'UNE': 53, 'AZUL': 8, 'VALOR UNIONISTA': 5, 'CABAL': 40, 'TODOS': 0, 'VAMOS': 40, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",57,52,284,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
23425,,"{'UNE': 67, 'AZUL': 6, 'VALOR UNIONISTA': 3, 'CABAL': 49, 'TODOS': 1, 'VAMOS': 43, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",50,32,283,0,Algún campo sin dato,21.Jalapa,5.San Carlos Alzatate,3681,presidente
