mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23449,,"{'UNE': 22, 'AZUL': 9, 'VALOR UNIONISTA': 21, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 39, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 28, 'FCN-NACION': 2, 'PPN': 0, 'UR': 7, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 4}",24,83,275,0,Algún campo sin dato,21.Jalapa,6.Monjas,3687,presidente
23450,,"{'UNE': 30, 'AZUL': 6, 'VALOR UNIONISTA': 27, 'CABAL': 30, 'TODOS': 2, 'VAMOS': 29, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 0}",27,50,252,0,Algún campo sin dato,21.Jalapa,6.Monjas,3687,presidente
23451,,"{'UNE': 30, 'AZUL': 10, 'VALOR UNIONISTA': 14, 'CABAL': 45, 'TODOS': 4, 'VAMOS': 27, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 20, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 7, 'VIVA': 10, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 1}",30,60,276,0,Algún campo sin dato,21.Jalapa,6.Monjas,3687,presidente
23452,,"{'UNE': 11, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 15, 'TODOS': 5, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 34, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",21,76,235,0,Algún campo sin dato,21.Jalapa,6.Monjas,3687,presidente
23453,,"{'UNE': 11, 'AZUL': 6, 'VALOR UNIONISTA': 14, 'CABAL': 33, 'TODOS': 4, 'VAMOS': 26, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 2, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 8, 'VIVA': 9, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 5}",24,71,261,0,Algún campo sin dato,21.Jalapa,6.Monjas,3687,presidente
23454,,"{'UNE': 30, 'AZUL': 12, 'VALOR UNIONISTA': 17, 'CABAL': 26, 'TODOS': 5, 'VAMOS': 26, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",27,64,256,0,Algún campo sin dato,21.Jalapa,6.Monjas,3687,presidente
23455,,"{'UNE': 20, 'AZUL': 7, 'VALOR UNIONISTA': 16, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 35, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 7, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",24,62,241,0,Algún campo sin dato,21.Jalapa,6.Monjas,3687,presidente
23456,,"{'UNE': 13, 'AZUL': 5, 'VALOR UNIONISTA': 8, 'CABAL': 5, 'TODOS': 3, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 2}",6,31,132,0,Algún campo sin dato,21.Jalapa,6.Monjas,3687,presidente
23457,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 13, 'TODOS': 3, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",4,31,116,0,Algún campo sin dato,21.Jalapa,6.Monjas,3687,presidente
23458,,"{'UNE': 29, 'AZUL': 11, 'VALOR UNIONISTA': 13, 'CABAL': 17, 'TODOS': 5, 'VAMOS': 33, 'PHG': 2, 'PR': 2, 'PIN': 3, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 21, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",35,81,285,0,Algún campo sin dato,21.Jalapa,6.Monjas,3688,presidente
