mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23502,,"{'UNE': 62, 'AZUL': 12, 'VALOR UNIONISTA': 15, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 12, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",14,48,248,62,Sumas Asentadas sin cuadrar,21.Jalapa,7.Mataquescuintla,3692,presidente
23503,,"{'UNE': 60, 'AZUL': 9, 'VALOR UNIONISTA': 6, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 15, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 6, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",11,62,242,0,Sumas Asentadas sin cuadrar,21.Jalapa,7.Mataquescuintla,3692,presidente
23504,,"{'UNE': 70, 'AZUL': 10, 'VALOR UNIONISTA': 4, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 8, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 1, 'UR': 5, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",14,61,240,0,Algún campo sin dato,21.Jalapa,7.Mataquescuintla,3692,presidente
23505,,"{'UNE': 57, 'AZUL': 8, 'VALOR UNIONISTA': 9, 'CABAL': 44, 'TODOS': 0, 'VAMOS': 6, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 1}",12,47,221,0,Algún campo sin dato,21.Jalapa,7.Mataquescuintla,3692,presidente
23506,,"{'UNE': 75, 'AZUL': 10, 'VALOR UNIONISTA': 10, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 11, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",10,59,240,0,Sumas Asentadas sin cuadrar,21.Jalapa,7.Mataquescuintla,3692,presidente
23507,,"{'UNE': 84, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 56, 'TODOS': 0, 'VAMOS': 16, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",40,42,274,0,Sumas Asentadas sin cuadrar,21.Jalapa,7.Mataquescuintla,3692,presidente
23508,,"{'UNE': 75, 'AZUL': 10, 'VALOR UNIONISTA': 9, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 11, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",22,56,246,0,Algún campo sin dato,21.Jalapa,7.Mataquescuintla,3692,presidente
23509,,"{'UNE': 61, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 12, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",13,47,211,0,Algún campo sin dato,21.Jalapa,7.Mataquescuintla,3692,presidente
23510,,"{'UNE': 52, 'AZUL': 11, 'VALOR UNIONISTA': 10, 'CABAL': 35, 'TODOS': 0, 'VAMOS': 14, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",8,52,230,0,Algún campo sin dato,21.Jalapa,7.Mataquescuintla,3692,presidente
23511,,"{'UNE': 56, 'AZUL': 12, 'VALOR UNIONISTA': 7, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 6, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",8,61,225,0,Algún campo sin dato,21.Jalapa,7.Mataquescuintla,3692,presidente
23512,,"{'UNE': 59, 'AZUL': 7, 'VALOR UNIONISTA': 6, 'CABAL': 47, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 21, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",13,49,240,0,Algún campo sin dato,21.Jalapa,7.Mataquescuintla,3692,presidente
23513,,"{'UNE': 44, 'AZUL': 5, 'VALOR UNIONISTA': 9, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",7,55,211,0,Algún campo sin dato,21.Jalapa,7.Mataquescuintla,3692,presidente
23514,,"{'UNE': 38, 'AZUL': 5, 'VALOR UNIONISTA': 5, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 4, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",6,46,182,0,Algún campo sin dato,21.Jalapa,7.Mataquescuintla,3692,presidente
