mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23593,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 25, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 77, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 24}",0,20,207,0,Algún campo sin dato,22.Jutiapa,1.Jutiapa,3705,presidente
23594,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 10, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 91, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 24}",0,67,265,132,Algún campo sin dato,22.Jutiapa,1.Jutiapa,3705,presidente
23595,,"{'UNE': 9, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 9, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 104, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 7, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 21}",0,18,211,0,Algún campo sin dato,22.Jutiapa,1.Jutiapa,3705,presidente
23596,,"{'UNE': 3, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 2, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 54, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 3, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 16}",1,16,142,0,Algún campo sin dato,22.Jutiapa,1.Jutiapa,3705,presidente
23597,,"{'UNE': 26, 'AZUL': 2, 'VALOR UNIONISTA': 28, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 44, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 11, 'VIVA': 3, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 34}",3,41,260,0,Algún campo sin dato,22.Jutiapa,1.Jutiapa,3706,presidente
23598,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 31, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 80, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 8, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 28}",6,47,263,1,Algún campo sin dato,22.Jutiapa,1.Jutiapa,3706,presidente
23599,,"{'UNE': 44, 'AZUL': 4, 'VALOR UNIONISTA': 22, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 7, 'PHG': 6, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 10, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 15}",11,49,248,0,Algún campo sin dato,22.Jutiapa,1.Jutiapa,3707,presidente
23600,,"{'UNE': 43, 'AZUL': 10, 'VALOR UNIONISTA': 22, 'CABAL': 28, 'TODOS': 1, 'VAMOS': 9, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 4, 'VOS': 17}",9,59,255,0,Algún campo sin dato,22.Jutiapa,1.Jutiapa,3707,presidente
23601,,"{'UNE': 46, 'AZUL': 3, 'VALOR UNIONISTA': 22, 'CABAL': 24, 'TODOS': 2, 'VAMOS': 8, 'PHG': 5, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 6, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 16}",11,42,246,0,,22.Jutiapa,1.Jutiapa,3707,presidente
23602,,"{'UNE': 51, 'AZUL': 3, 'VALOR UNIONISTA': 20, 'CABAL': 30, 'TODOS': 3, 'VAMOS': 6, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 10, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 15}",2,58,244,0,Sumas Asentadas sin cuadrar,22.Jutiapa,1.Jutiapa,3707,presidente
