mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24081,,"{'UNE': 43, 'AZUL': 4, 'VALOR UNIONISTA': 12, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 51, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",43,34,264,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3775,presidente
24082,,"{'UNE': 71, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 37, 'TODOS': 2, 'VAMOS': 70, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 12}",47,35,323,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3775,presidente
24083,,"{'UNE': 65, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 89, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 3}",59,42,324,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3775,presidente
24084,,"{'UNE': 66, 'AZUL': 5, 'VALOR UNIONISTA': 7, 'CABAL': 34, 'TODOS': 2, 'VAMOS': 65, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",78,29,319,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3775,presidente
24085,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 29, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",24,40,239,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3775,presidente
24086,,"{'UNE': 46, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 20, 'TODOS': 3, 'VAMOS': 37, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",23,30,218,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3776,presidente
24087,,"{'UNE': 46, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",26,26,214,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3776,presidente
24088,,"{'UNE': 35, 'AZUL': 3, 'VALOR UNIONISTA': 1, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 27, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",30,24,181,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3776,presidente
24089,,"{'UNE': 37, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 63, 'TODOS': 4, 'VAMOS': 41, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",78,39,286,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3777,presidente
24090,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 92, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 4, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",106,45,319,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3777,presidente
24091,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 46, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",55,49,226,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3777,presidente
24092,,"{'UNE': 18, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",34,29,145,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3777,presidente
24093,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",24,14,106,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3777,presidente
24094,,"{'UNE': 49, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 32, 'TODOS': 2, 'VAMOS': 37, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",53,45,257,0,Algún campo sin dato,22.Jutiapa,10.Zapotitlán,3778,presidente
