mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24104,,"{'UNE': 62, 'AZUL': 5, 'VALOR UNIONISTA': 10, 'CABAL': 40, 'TODOS': 2, 'VAMOS': 59, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 1, 'VIVA': 24, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 2}",38,65,333,0,Algún campo sin dato,22.Jutiapa,11.Comapa,3780,presidente
24105,,"{'UNE': 0, 'AZUL': 68, 'VALOR UNIONISTA': 12, 'CABAL': 34, 'TODOS': 2, 'VAMOS': 64, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 3}",49,73,347,8,Sumas Asentadas sin cuadrar,22.Jutiapa,11.Comapa,3780,presidente
24106,,"{'UNE': 45, 'AZUL': 1, 'VALOR UNIONISTA': 16, 'CABAL': 57, 'TODOS': 0, 'VAMOS': 40, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 0, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 35, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 6}",56,59,332,0,Algún campo sin dato,22.Jutiapa,11.Comapa,3780,presidente
24107,,"{'UNE': 60, 'AZUL': 4, 'VALOR UNIONISTA': 7, 'CABAL': 35, 'TODOS': 1, 'VAMOS': 31, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 0, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 7}",36,53,278,18,Algún campo sin dato,22.Jutiapa,11.Comapa,3780,presidente
24108,,"{'UNE': 38, 'AZUL': 4, 'VALOR UNIONISTA': 16, 'CABAL': 39, 'TODOS': 3, 'VAMOS': 40, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",24,45,268,0,Algún campo sin dato,22.Jutiapa,11.Comapa,3780,presidente
24109,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",13,57,216,1,Algún campo sin dato,22.Jutiapa,11.Comapa,3780,presidente
24110,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 14, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 0}",23,31,213,0,Algún campo sin dato,22.Jutiapa,11.Comapa,3780,presidente
24111,,"{'UNE': 44, 'AZUL': 6, 'VALOR UNIONISTA': 9, 'CABAL': 31, 'TODOS': 2, 'VAMOS': 30, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",65,75,303,0,Algún campo sin dato,22.Jutiapa,11.Comapa,3781,presidente
24112,,"{'UNE': 68, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 50, 'TODOS': 0, 'VAMOS': 36, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 2}",76,83,342,0,Sumas Asentadas sin cuadrar,22.Jutiapa,11.Comapa,3781,presidente
24113,,"{'UNE': 74, 'AZUL': 5, 'VALOR UNIONISTA': 18, 'CABAL': 73, 'TODOS': 0, 'VAMOS': 58, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 1, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 0}",60,44,354,0,Algún campo sin dato,22.Jutiapa,11.Comapa,3781,presidente
24114,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 52, 'TODOS': 2, 'VAMOS': 52, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",79,52,331,0,Algún campo sin dato,22.Jutiapa,11.Comapa,3781,presidente
24115,,"{'UNE': 54, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 48, 'TODOS': 2, 'VAMOS': 77, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 2, 'FCN-NACION': 3, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",63,50,344,0,Algún campo sin dato,22.Jutiapa,11.Comapa,3781,presidente
