mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24159,,"{'UNE': 29, 'AZUL': 13, 'VALOR UNIONISTA': 36, 'CABAL': 5, 'TODOS': 10, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 6, 'VOS': 8}",22,89,294,0,Algún campo sin dato,22.Jutiapa,12.Jalpatagua,3790,presidente
24160,,"{'UNE': 28, 'AZUL': 7, 'VALOR UNIONISTA': 26, 'CABAL': 7, 'TODOS': 4, 'VAMOS': 18, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 31, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 7, 'VOS': 13}",22,77,276,0,Algún campo sin dato,22.Jutiapa,12.Jalpatagua,3790,presidente
24161,,"{'UNE': 25, 'AZUL': 14, 'VALOR UNIONISTA': 28, 'CABAL': 10, 'TODOS': 4, 'VAMOS': 31, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 37, 'FCN-NACION': 3, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 9}",22,76,295,0,,22.Jutiapa,12.Jalpatagua,3790,presidente
24162,,"{'UNE': 21, 'AZUL': 11, 'VALOR UNIONISTA': 15, 'CABAL': 6, 'TODOS': 6, 'VAMOS': 16, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 8, 'VOS': 16}",17,75,245,0,Algún campo sin dato,22.Jutiapa,12.Jalpatagua,3790,presidente
24163,,"{'UNE': 25, 'AZUL': 15, 'VALOR UNIONISTA': 14, 'CABAL': 7, 'TODOS': 3, 'VAMOS': 20, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 10, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 5, 'VOS': 12}",13,61,250,0,Algún campo sin dato,22.Jutiapa,12.Jalpatagua,3790,presidente
24164,,"{'UNE': 27, 'AZUL': 13, 'VALOR UNIONISTA': 29, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 11}",13,82,272,0,Algún campo sin dato,22.Jutiapa,12.Jalpatagua,3791,presidente
24165,,"{'UNE': 22, 'AZUL': 10, 'VALOR UNIONISTA': 21, 'CABAL': 7, 'TODOS': 5, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 6, 'VOS': 13}",13,71,228,0,Algún campo sin dato,22.Jutiapa,12.Jalpatagua,3791,presidente
24166,,"{'UNE': 16, 'AZUL': 8, 'VALOR UNIONISTA': 10, 'CABAL': 7, 'TODOS': 3, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 63, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 13}",10,45,215,0,Algún campo sin dato,22.Jutiapa,12.Jalpatagua,3791,presidente
24167,,"{'UNE': 10, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 69, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 5, 'VOS': 7}",3,48,188,0,Algún campo sin dato,22.Jutiapa,12.Jalpatagua,3791,presidente
24168,,"{'UNE': 14, 'AZUL': 8, 'VALOR UNIONISTA': 10, 'CABAL': 4, 'TODOS': 2, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 49, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 8, 'VOS': 10}",9,45,189,0,Algún campo sin dato,22.Jutiapa,12.Jalpatagua,3791,presidente
