mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24220,,"{'UNE': 68, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 46, 'TODOS': 10, 'VAMOS': 27, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 5, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",33,36,287,0,Sumas Asentadas sin cuadrar,22.Jutiapa,13.Conguaco,3804,presidente
24221,,"{'UNE': 74, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 47, 'TODOS': 9, 'VAMOS': 37, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 8, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 4}",41,48,306,0,Algún campo sin dato,22.Jutiapa,13.Conguaco,3804,presidente
24222,,"{'UNE': 53, 'AZUL': 3, 'VALOR UNIONISTA': 5, 'CABAL': 67, 'TODOS': 10, 'VAMOS': 34, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 5, 'BIEN': 6, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 7}",47,56,330,0,Algún campo sin dato,22.Jutiapa,13.Conguaco,3804,presidente
24223,,"{'UNE': 69, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 49, 'TODOS': 9, 'VAMOS': 25, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 6, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 6}",29,54,299,0,Algún campo sin dato,22.Jutiapa,13.Conguaco,3804,presidente
24224,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 14, 'CABAL': 51, 'TODOS': 8, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 9, 'VICTORIA': 0, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 6}",21,45,262,0,Algún campo sin dato,22.Jutiapa,13.Conguaco,3804,presidente
24225,,"{'UNE': 54, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 47, 'TODOS': 3, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 11, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 7}",35,55,286,0,Algún campo sin dato,22.Jutiapa,13.Conguaco,3804,presidente
24226,,"{'UNE': 64, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 39, 'TODOS': 3, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 4, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 6}",10,51,269,0,Sumas Asentadas sin cuadrar,22.Jutiapa,13.Conguaco,3804,presidente
24227,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 6, 'SEMILLA': 15, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",16,42,203,0,Algún campo sin dato,22.Jutiapa,13.Conguaco,3804,presidente
24228,,"{'UNE': 52, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 30, 'TODOS': 3, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 5}",12,27,184,0,Algún campo sin dato,22.Jutiapa,13.Conguaco,3804,presidente
24229,,"{'UNE': 87, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 44, 'TODOS': 11, 'VAMOS': 33, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 4, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 2}",58,70,333,0,Algún campo sin dato,22.Jutiapa,13.Conguaco,3805,presidente
24230,,"{'UNE': 94, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 35, 'TODOS': 6, 'VAMOS': 26, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 6, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 5, 'VOS': 1}",43,69,315,0,Algún campo sin dato,22.Jutiapa,13.Conguaco,3805,presidente
