mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24261,,"{'UNE': 41, 'AZUL': 8, 'VALOR UNIONISTA': 24, 'CABAL': 30, 'TODOS': 0, 'VAMOS': 28, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 10, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 8}",14,63,286,0,,22.Jutiapa,14.Moyuta,3813,presidente
24262,,"{'UNE': 59, 'AZUL': 5, 'VALOR UNIONISTA': 19, 'CABAL': 39, 'TODOS': 0, 'VAMOS': 37, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 10, 'VIVA': 19, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 6}",10,61,305,1,Algún campo sin dato,22.Jutiapa,14.Moyuta,3813,presidente
24263,,"{'UNE': 28, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 23, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 41, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 14, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 16}",7,63,260,0,,22.Jutiapa,14.Moyuta,3813,presidente
24264,,"{'UNE': 47, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 14, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 7, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",11,68,267,0,,22.Jutiapa,14.Moyuta,3813,presidente
24265,,"{'UNE': 39, 'AZUL': 6, 'VALOR UNIONISTA': 21, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 19, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 11, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",10,62,269,0,Algún campo sin dato,22.Jutiapa,14.Moyuta,3813,presidente
24266,,"{'UNE': 28, 'AZUL': 7, 'VALOR UNIONISTA': 14, 'CABAL': 23, 'TODOS': 0, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",9,50,236,0,,22.Jutiapa,14.Moyuta,3813,presidente
24267,,"{'UNE': 24, 'AZUL': 5, 'VALOR UNIONISTA': 4, 'CABAL': 18, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 50, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",2,21,157,5,,22.Jutiapa,14.Moyuta,3813,presidente
24268,,"{'UNE': 21, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",5,27,149,0,,22.Jutiapa,14.Moyuta,3813,presidente
24269,,"{'UNE': 69, 'AZUL': 4, 'VALOR UNIONISTA': 22, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 51, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 17, 'FCN-NACION': 3, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 4, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 1}",25,51,288,0,Algún campo sin dato,22.Jutiapa,14.Moyuta,3814,presidente
24270,,"{'UNE': 94, 'AZUL': 12, 'VALOR UNIONISTA': 28, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 36, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 3}",17,67,310,0,Algún campo sin dato,22.Jutiapa,14.Moyuta,3814,presidente
