mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24333,,"{'UNE': 40, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 21, 'TODOS': 11, 'VAMOS': 41, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",26,78,279,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3822,presidente
24334,,"{'UNE': 35, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 22, 'TODOS': 28, 'VAMOS': 45, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 12, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",38,74,299,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3822,presidente
24335,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 33, 'TODOS': 12, 'VAMOS': 60, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",44,67,320,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3822,presidente
24336,,"{'UNE': 38, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 15, 'TODOS': 24, 'VAMOS': 47, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 9, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",30,55,274,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3822,presidente
24337,,"{'UNE': 42, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 23, 'TODOS': 21, 'VAMOS': 35, 'PHG': 2, 'PR': 0, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",23,63,270,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3822,presidente
24338,,"{'UNE': 41, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 18, 'TODOS': 16, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 7}",32,62,264,0,,22.Jutiapa,15.Pasaco,3822,presidente
24339,,"{'UNE': 26, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 22, 'TODOS': 19, 'VAMOS': 38, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",22,57,252,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3822,presidente
24340,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 12, 'TODOS': 13, 'VAMOS': 20, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 8, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",11,57,200,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3822,presidente
24341,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 8, 'TODOS': 14, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",20,52,201,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3822,presidente
24342,,"{'UNE': 63, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 26, 'TODOS': 35, 'VAMOS': 42, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 1, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",57,55,322,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3823,presidente
24343,,"{'UNE': 77, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 20, 'TODOS': 36, 'VAMOS': 62, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",50,54,345,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3823,presidente
24344,,"{'UNE': 72, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 15, 'TODOS': 28, 'VAMOS': 57, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 3, 'FCN-NACION': 2, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",32,56,302,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3823,presidente
24345,,"{'UNE': 67, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 17, 'TODOS': 32, 'VAMOS': 49, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",38,56,300,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3823,presidente
24346,,"{'UNE': 32, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 6, 'TODOS': 15, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",25,36,156,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3823,presidente
24347,,"{'UNE': 21, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 4, 'TODOS': 29, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",14,29,135,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3823,presidente
24348,,"{'UNE': 43, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 7, 'TODOS': 21, 'VAMOS': 37, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",47,82,299,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3824,presidente
24349,,"{'UNE': 54, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 10, 'TODOS': 17, 'VAMOS': 48, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",52,97,320,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3824,presidente
24350,,"{'UNE': 43, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 12, 'TODOS': 19, 'VAMOS': 39, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",23,93,288,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3824,presidente
24351,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 23, 'VAMOS': 36, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",35,107,285,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3824,presidente
24352,,"{'UNE': 49, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 15, 'TODOS': 12, 'VAMOS': 29, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",48,69,274,0,Algún campo sin dato,22.Jutiapa,15.Pasaco,3825,presidente
