mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24357,,"{'UNE': 50, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 110, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",24,57,302,5,,22.Jutiapa,16.San José Acatempa,3827,presidente
24358,,"{'UNE': 82, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 99, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 5}",45,48,336,1,,22.Jutiapa,16.San José Acatempa,3827,presidente
24359,,"{'UNE': 80, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 109, 'TODOS': 0, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",53,40,338,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3827,presidente
24360,,"{'UNE': 84, 'AZUL': 5, 'VALOR UNIONISTA': 4, 'CABAL': 83, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",56,56,325,0,Sumas Asentadas sin cuadrar,22.Jutiapa,16.San José Acatempa,3827,presidente
24361,,"{'UNE': 80, 'AZUL': 4, 'VALOR UNIONISTA': 4, 'CABAL': 83, 'TODOS': 1, 'VAMOS': 0, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 1}",51,62,313,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3827,presidente
24362,,"{'UNE': 70, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 90, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",42,62,301,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3827,presidente
24363,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 82, 'TODOS': 1, 'VAMOS': 6, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",37,71,295,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3827,presidente
24364,,"{'UNE': 72, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 75, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",21,63,287,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3827,presidente
24365,,"{'UNE': 60, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 95, 'TODOS': 0, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",22,58,291,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3827,presidente
24366,,"{'UNE': 67, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 75, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 32, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",22,55,295,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3827,presidente
24367,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 92, 'TODOS': 0, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",19,54,301,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3828,presidente
24368,,"{'UNE': 47, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 48, 'TODOS': 1, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",10,38,205,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3828,presidente
24369,,"{'UNE': 56, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 46, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",10,42,192,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3828,presidente
24370,,"{'UNE': 73, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 83, 'TODOS': 1, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",25,83,310,0,,22.Jutiapa,16.San José Acatempa,3829,presidente
24371,,"{'UNE': 74, 'AZUL': 4, 'VALOR UNIONISTA': 5, 'CABAL': 98, 'TODOS': 3, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",36,58,328,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3829,presidente
24372,,"{'UNE': 78, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 92, 'TODOS': 2, 'VAMOS': 5, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",31,69,338,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3829,presidente
24373,,"{'UNE': 69, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 120, 'TODOS': 2, 'VAMOS': 3, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 3}",37,56,326,0,Algún campo sin dato,22.Jutiapa,16.San José Acatempa,3829,presidente
