mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24383,,"{'UNE': 48, 'AZUL': 3, 'VALOR UNIONISTA': 26, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 19, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",37,79,272,0,Algún campo sin dato,22.Jutiapa,17.Quesada,3831,presidente
24384,,"{'UNE': 50, 'AZUL': 4, 'VALOR UNIONISTA': 19, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 5, 'VICTORIA': 2, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 7, 'VIVA': 4, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 9}",43,74,288,0,Algún campo sin dato,22.Jutiapa,17.Quesada,3831,presidente
24385,,"{'UNE': 51, 'AZUL': 3, 'VALOR UNIONISTA': 23, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 24, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",58,81,318,0,Algún campo sin dato,22.Jutiapa,17.Quesada,3831,presidente
24386,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 26, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 6, 'VIVA': 10, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 8}",49,85,315,0,Sumas Asentadas sin cuadrar,22.Jutiapa,17.Quesada,3831,presidente
24387,,"{'UNE': 45, 'AZUL': 2, 'VALOR UNIONISTA': 27, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",61,97,311,0,Algún campo sin dato,22.Jutiapa,17.Quesada,3831,presidente
24388,,"{'UNE': 39, 'AZUL': 4, 'VALOR UNIONISTA': 31, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 10}",35,88,302,0,Algún campo sin dato,22.Jutiapa,17.Quesada,3831,presidente
24389,,"{'UNE': 36, 'AZUL': 6, 'VALOR UNIONISTA': 20, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 16, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",23,85,271,0,Algún campo sin dato,22.Jutiapa,17.Quesada,3831,presidente
24390,,"{'UNE': 42, 'AZUL': 2, 'VALOR UNIONISTA': 31, 'CABAL': 13, 'TODOS': 0, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 2, 'SEMILLA': 29, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 15}",24,69,280,17,Algún campo sin dato,22.Jutiapa,17.Quesada,3831,presidente
24391,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 27, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 19, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",25,13,199,54,Algún campo sin dato,22.Jutiapa,17.Quesada,3831,presidente
24392,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 79, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 5, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 17}",17,65,279,0,Algún campo sin dato,22.Jutiapa,17.Quesada,3831,presidente
