mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23759,,"{'UNE': 27, 'AZUL': 4, 'VALOR UNIONISTA': 9, 'CABAL': 11, 'TODOS': 13, 'VAMOS': 0, 'PHG': 2, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 38, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 11, 'VIVA': 6, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 15}",33,66,256,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23760,,"{'UNE': 28, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 12, 'TODOS': 19, 'VAMOS': 1, 'PHG': 0, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 9, 'VIVA': 2, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 11}",29,74,258,0,Sumas Asentadas sin cuadrar,22.Jutiapa,2.El Progreso,3726,presidente
23761,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 11, 'TODOS': 12, 'VAMOS': 6, 'PHG': 3, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 6, 'VIVA': 12, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 11}",24,94,281,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23762,,"{'UNE': 29, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 9, 'TODOS': 18, 'VAMOS': 1, 'PHG': 2, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 55, 'FCN-NACION': 3, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 10, 'VIVA': 10, 'MI FAMILIA': 5, 'CAMBIO': 2, 'VOS': 12}",24,74,285,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23763,,"{'UNE': 24, 'AZUL': 8, 'VALOR UNIONISTA': 12, 'CABAL': 12, 'TODOS': 19, 'VAMOS': 2, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 0, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 7, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 18}",23,85,272,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23764,,"{'UNE': 21, 'AZUL': 3, 'VALOR UNIONISTA': 21, 'CABAL': 8, 'TODOS': 15, 'VAMOS': 4, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 35, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 13, 'VIVA': 4, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 17}",28,69,261,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23765,,"{'UNE': 20, 'AZUL': 4, 'VALOR UNIONISTA': 17, 'CABAL': 24, 'TODOS': 15, 'VAMOS': 5, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 11, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 14}",23,70,273,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23766,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 9, 'TODOS': 17, 'VAMOS': 2, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 53, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 13, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 14}",15,59,239,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23767,,"{'UNE': 20, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 15, 'TODOS': 11, 'VAMOS': 2, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 44, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 7, 'VIVA': 3, 'MI FAMILIA': 3, 'CAMBIO': 4, 'VOS': 25}",13,52,234,4,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23768,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 13, 'TODOS': 15, 'VAMOS': 4, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 54, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 9, 'VIVA': 10, 'MI FAMILIA': 3, 'CAMBIO': 3, 'VOS': 17}",24,85,272,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23769,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 18, 'CABAL': 17, 'TODOS': 13, 'VAMOS': 5, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 58, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 14, 'VIVA': 5, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",19,66,267,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23770,,"{'UNE': 29, 'AZUL': 3, 'VALOR UNIONISTA': 24, 'CABAL': 12, 'TODOS': 7, 'VAMOS': 5, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 42, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 11, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",15,62,244,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23771,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 8, 'TODOS': 12, 'VAMOS': 7, 'PHG': 3, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 9, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 18}",14,55,231,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
23772,,"{'UNE': 16, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 10, 'TODOS': 16, 'VAMOS': 3, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 70, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 9, 'VIVA': 3, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 16}",14,58,246,0,Algún campo sin dato,22.Jutiapa,2.El Progreso,3726,presidente
