mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23806,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 31, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 19}",34,72,291,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3735,presidente
23807,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 52, 'TODOS': 0, 'VAMOS': 35, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 37, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 7, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 29}",24,81,315,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3735,presidente
23808,,"{'UNE': 24, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 43, 'TODOS': 1, 'VAMOS': 24, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 24}",30,78,314,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3735,presidente
23809,,"{'UNE': 18, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 8, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 23}",28,78,268,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3735,presidente
23810,,"{'UNE': 20, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 35, 'TODOS': 2, 'VAMOS': 23, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 43, 'FCN-NACION': 3, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 20}",18,78,290,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3735,presidente
23811,,"{'UNE': 20, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 28, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 2, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 12}",39,60,266,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3735,presidente
23812,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 36, 'TODOS': 2, 'VAMOS': 23, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",30,60,274,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3735,presidente
23813,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 26, 'TODOS': 1, 'VAMOS': 12, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 70, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 12}",10,46,219,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3735,presidente
23814,,"{'UNE': 4, 'AZUL': 0, 'VALOR UNIONISTA': 5, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",10,35,148,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3735,presidente
23815,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 36, 'TODOS': 4, 'VAMOS': 24, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",49,81,277,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23816,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 40, 'TODOS': 1, 'VAMOS': 2, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 2, 'VIVA': 4, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 5}",43,87,248,0,Sumas Asentadas sin cuadrar,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23817,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",43,106,275,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23818,,"{'UNE': 37, 'AZUL': 3, 'VALOR UNIONISTA': 8, 'CABAL': 29, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 10, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 6}",44,77,282,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23819,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 32, 'TODOS': 2, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 8, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",39,80,260,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23820,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 29, 'TODOS': 0, 'VAMOS': 18, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",32,81,253,0,Sumas Asentadas sin cuadrar,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23821,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 36, 'TODOS': 1, 'VAMOS': 23, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 9}",25,87,252,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23822,,"{'UNE': 30, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 36, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 0, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",45,82,272,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23823,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 32, 'TODOS': 1, 'VAMOS': 13, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 7}",31,74,234,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23824,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 28, 'TODOS': 2, 'VAMOS': 10, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 70, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",16,75,261,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23825,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 2, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 43, 'FCN-NACION': 3, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 2, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 7}",27,61,222,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3736,presidente
23826,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 6, 'CABAL': 55, 'TODOS': 2, 'VAMOS': 18, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 1, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 11}",66,63,306,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3737,presidente
23827,,"{'UNE': 26, 'AZUL': 7, 'VALOR UNIONISTA': 5, 'CABAL': 46, 'TODOS': 3, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",54,63,295,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3737,presidente
23828,,"{'UNE': 46, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 47, 'TODOS': 2, 'VAMOS': 27, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 8}",62,64,312,0,,22.Jutiapa,3.Santa Catarina Mita,3737,presidente
23829,,"{'UNE': 27, 'AZUL': 2, 'VALOR UNIONISTA': 4, 'CABAL': 34, 'TODOS': 5, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 16}",58,67,271,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3737,presidente
23830,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 44, 'TODOS': 0, 'VAMOS': 16, 'PHG': 1, 'PR': 2, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 27}",36,72,294,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3737,presidente
23831,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 37, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 3, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 7}",55,85,282,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3737,presidente
23832,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 50, 'TODOS': 2, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 7}",21,74,299,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3737,presidente
23833,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 22, 'TODOS': 0, 'VAMOS': 6, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 2, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",13,40,160,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3737,presidente
23834,,"{'UNE': 14, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 6, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 9}",30,24,135,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3737,presidente
23835,,"{'UNE': 25, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 45, 'TODOS': 2, 'VAMOS': 30, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 22, 'FCN-NACION': 1, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",56,66,290,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3738,presidente
23836,,"{'UNE': 27, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 4}",23,35,153,0,,22.Jutiapa,3.Santa Catarina Mita,3738,presidente
23837,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 19, 'TODOS': 2, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 27, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",14,33,155,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3738,presidente
23838,,"{'UNE': 21, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 31, 'TODOS': 5, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 1, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 14}",42,56,240,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3739,presidente
23839,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 30, 'TODOS': 5, 'VAMOS': 18, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 36, 'FCN-NACION': 1, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 3, 'MI FAMILIA': 19, 'CAMBIO': 0, 'VOS': 12}",41,55,253,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3739,presidente
23840,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 15, 'TODOS': 4, 'VAMOS': 19, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 2, 'MI FAMILIA': 10, 'CAMBIO': 0, 'VOS': 10}",41,58,223,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3739,presidente
23841,,"{'UNE': 19, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 25, 'TODOS': 2, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 4, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 15}",50,49,255,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3739,presidente
23842,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 14, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 27, 'FCN-NACION': 3, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 3, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 6}",38,34,176,0,Algún campo sin dato,22.Jutiapa,3.Santa Catarina Mita,3739,presidente
