mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23861,,"{'UNE': 24, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 12, 'TODOS': 3, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 28, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 6, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 12}",33,102,263,0,Sumas Asentadas sin cuadrar,22.Jutiapa,4.Agua Blanca,3743,presidente
23862,,"{'UNE': 24, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 11, 'PHG': 13, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 23, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 6, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 4, 'VOS': 16}",36,110,279,0,Algún campo sin dato,22.Jutiapa,4.Agua Blanca,3743,presidente
23863,,"{'UNE': 20, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 7, 'TODOS': 12, 'VAMOS': 17, 'PHG': 13, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 22, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 5, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 3, 'VOS': 4}",21,112,276,0,,22.Jutiapa,4.Agua Blanca,3743,presidente
23864,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 6, 'TODOS': 6, 'VAMOS': 10, 'PHG': 21, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 20, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 8, 'VIVA': 5, 'MI FAMILIA': 3, 'CAMBIO': 6, 'VOS': 10}",133,115,399,1,Sumas Asentadas sin cuadrar,22.Jutiapa,4.Agua Blanca,3743,presidente
23865,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 13, 'TODOS': 6, 'VAMOS': 14, 'PHG': 17, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 8, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",162,115,400,0,Algún campo sin dato,22.Jutiapa,4.Agua Blanca,3743,presidente
23866,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 16, 'TODOS': 3, 'VAMOS': 9, 'PHG': 18, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 9, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 10}",26,75,227,16,Algún campo sin dato,22.Jutiapa,4.Agua Blanca,3744,presidente
23867,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 17, 'TODOS': 3, 'VAMOS': 7, 'PHG': 5, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 13}",19,110,250,0,Algún campo sin dato,22.Jutiapa,4.Agua Blanca,3744,presidente
23868,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 19, 'CABAL': 10, 'TODOS': 3, 'VAMOS': 7, 'PHG': 12, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 15}",29,85,251,0,Algún campo sin dato,22.Jutiapa,4.Agua Blanca,3744,presidente
23869,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 8, 'TODOS': 5, 'VAMOS': 7, 'PHG': 5, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 49, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",13,113,244,0,Algún campo sin dato,22.Jutiapa,4.Agua Blanca,3744,presidente
23870,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 5, 'PHG': 7, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 54, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 8}",11,78,207,0,Algún campo sin dato,22.Jutiapa,4.Agua Blanca,3745,presidente
