mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23898,,"{'UNE': 49, 'AZUL': 3, 'VALOR UNIONISTA': 31, 'CABAL': 12, 'TODOS': 4, 'VAMOS': 2, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",48,53,238,0,,22.Jutiapa,5.Asunción Mita,3751,presidente
23899,,"{'UNE': 34, 'AZUL': 7, 'VALOR UNIONISTA': 27, 'CABAL': 16, 'TODOS': 0, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 3}",36,69,236,0,Algún campo sin dato,22.Jutiapa,5.Asunción Mita,3751,presidente
23900,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",26,59,204,0,Algún campo sin dato,22.Jutiapa,5.Asunción Mita,3751,presidente
23901,,"{'UNE': 37, 'AZUL': 2, 'VALOR UNIONISTA': 29, 'CABAL': 16, 'TODOS': 4, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 5, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",18,56,212,0,Algún campo sin dato,22.Jutiapa,5.Asunción Mita,3751,presidente
23902,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 19, 'CABAL': 14, 'TODOS': 2, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",29,67,207,0,Algún campo sin dato,22.Jutiapa,5.Asunción Mita,3751,presidente
23903,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 24, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 3, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",14,61,198,0,Algún campo sin dato,22.Jutiapa,5.Asunción Mita,3751,presidente
23904,,"{'UNE': 19, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 1, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",12,29,125,0,Algún campo sin dato,22.Jutiapa,5.Asunción Mita,3751,presidente
23905,,"{'UNE': 13, 'AZUL': 0, 'VALOR UNIONISTA': 13, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 5}",6,20,80,0,Algún campo sin dato,22.Jutiapa,5.Asunción Mita,3751,presidente
23906,,"{'UNE': 47, 'AZUL': 2, 'VALOR UNIONISTA': 20, 'CABAL': 6, 'TODOS': 2, 'VAMOS': 2, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 11, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 7}",39,71,236,0,Algún campo sin dato,22.Jutiapa,5.Asunción Mita,3752,presidente
23907,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 9, 'TODOS': 2, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 3, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 3}",39,32,168,0,Algún campo sin dato,22.Jutiapa,5.Asunción Mita,3752,presidente
