mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
23983,,"{'UNE': 63, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 3, 'TODOS': 21, 'VAMOS': 34, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 5, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 4}",45,48,277,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23984,,"{'UNE': 56, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 8, 'TODOS': 15, 'VAMOS': 33, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",59,59,295,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23985,,"{'UNE': 81, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 3, 'TODOS': 25, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",59,51,305,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23986,,"{'UNE': 96, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 8, 'TODOS': 28, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",52,35,306,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23987,,"{'UNE': 89, 'AZUL': 6, 'VALOR UNIONISTA': 7, 'CABAL': 12, 'TODOS': 20, 'VAMOS': 42, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",41,51,304,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23988,,"{'UNE': 89, 'AZUL': 4, 'VALOR UNIONISTA': 13, 'CABAL': 9, 'TODOS': 28, 'VAMOS': 39, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",58,46,315,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23989,,"{'UNE': 81, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 11, 'TODOS': 18, 'VAMOS': 36, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",59,42,298,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23990,,"{'UNE': 90, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 6, 'TODOS': 11, 'VAMOS': 33, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 19, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 3, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",39,56,296,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23991,,"{'UNE': 69, 'AZUL': 3, 'VALOR UNIONISTA': 13, 'CABAL': 11, 'TODOS': 12, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",37,44,266,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23992,,"{'UNE': 62, 'AZUL': 1, 'VALOR UNIONISTA': 11, 'CABAL': 8, 'TODOS': 18, 'VAMOS': 22, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",37,49,260,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23993,,"{'UNE': 53, 'AZUL': 5, 'VALOR UNIONISTA': 15, 'CABAL': 9, 'TODOS': 12, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 9, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 4}",54,39,269,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23994,,"{'UNE': 66, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 14, 'VAMOS': 23, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",59,57,270,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23995,,"{'UNE': 76, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 6, 'TODOS': 17, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",39,31,267,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23996,,"{'UNE': 65, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 8, 'TODOS': 18, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",30,49,271,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23997,,"{'UNE': 75, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 5, 'TODOS': 11, 'VAMOS': 18, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 4, 'VIVA': 27, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",22,40,267,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3760,presidente
23998,,"{'UNE': 76, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 10, 'TODOS': 15, 'VAMOS': 16, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 35, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",21,29,248,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3761,presidente
23999,,"{'UNE': 56, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 23, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",37,41,241,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3761,presidente
24000,,"{'UNE': 67, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 25, 'TODOS': 5, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 2}",39,50,263,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3762,presidente
24001,,"{'UNE': 75, 'AZUL': 3, 'VALOR UNIONISTA': 12, 'CABAL': 31, 'TODOS': 4, 'VAMOS': 24, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",38,57,272,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3762,presidente
24002,,"{'UNE': 80, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 22, 'TODOS': 5, 'VAMOS': 31, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 2, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",47,63,300,0,Algún campo sin dato,22.Jutiapa,6.Yupiltepeque,3762,presidente
