mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24011,,"{'UNE': 55, 'AZUL': 2, 'VALOR UNIONISTA': 33, 'CABAL': 2, 'TODOS': 12, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 6}",49,63,300,0,Algún campo sin dato,22.Jutiapa,7.Atescatempa,3764,presidente
24012,,"{'UNE': 76, 'AZUL': 3, 'VALOR UNIONISTA': 34, 'CABAL': 16, 'TODOS': 18, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",39,58,311,0,Algún campo sin dato,22.Jutiapa,7.Atescatempa,3764,presidente
24013,,"{'UNE': 69, 'AZUL': 5, 'VALOR UNIONISTA': 31, 'CABAL': 6, 'TODOS': 14, 'VAMOS': 25, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 2, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 6, 'VIVA': 8, 'MI FAMILIA': 4, 'CAMBIO': 4, 'VOS': 10}",41,66,308,0,Algún campo sin dato,22.Jutiapa,7.Atescatempa,3764,presidente
24014,,"{'UNE': 57, 'AZUL': 0, 'VALOR UNIONISTA': 30, 'CABAL': 9, 'TODOS': 18, 'VAMOS': 46, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 9, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 12}",56,61,330,0,Algún campo sin dato,22.Jutiapa,7.Atescatempa,3764,presidente
24015,,"{'UNE': 68, 'AZUL': 2, 'VALOR UNIONISTA': 39, 'CABAL': 11, 'TODOS': 6, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 19, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 5}",39,73,321,0,Sumas Asentadas sin cuadrar,22.Jutiapa,7.Atescatempa,3764,presidente
24016,,"{'UNE': 72, 'AZUL': 1, 'VALOR UNIONISTA': 37, 'CABAL': 4, 'TODOS': 12, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",30,53,288,1,Algún campo sin dato,22.Jutiapa,7.Atescatempa,3764,presidente
24017,,"{'UNE': 77, 'AZUL': 4, 'VALOR UNIONISTA': 35, 'CABAL': 5, 'TODOS': 11, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 6, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 4, 'VOS': 6}",32,58,286,0,Algún campo sin dato,22.Jutiapa,7.Atescatempa,3764,presidente
24018,,"{'UNE': 58, 'AZUL': 3, 'VALOR UNIONISTA': 30, 'CABAL': 10, 'TODOS': 17, 'VAMOS': 31, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 4, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",29,62,294,0,Algún campo sin dato,22.Jutiapa,7.Atescatempa,3765,presidente
24019,,"{'UNE': 65, 'AZUL': 2, 'VALOR UNIONISTA': 29, 'CABAL': 5, 'TODOS': 12, 'VAMOS': 23, 'PHG': 1, 'PR': 1, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 5, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",31,61,292,0,Algún campo sin dato,22.Jutiapa,7.Atescatempa,3765,presidente
24020,,"{'UNE': 62, 'AZUL': 2, 'VALOR UNIONISTA': 23, 'CABAL': 6, 'TODOS': 13, 'VAMOS': 24, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 5, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 9, 'VIVA': 12, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 5}",40,64,302,5,Algún campo sin dato,22.Jutiapa,7.Atescatempa,3765,presidente
