mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24050,,"{'UNE': 31, 'AZUL': 3, 'VALOR UNIONISTA': 43, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 5, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",40,66,297,0,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24051,,"{'UNE': 35, 'AZUL': 1, 'VALOR UNIONISTA': 39, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 1, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 4, 'VIVA': 26, 'MI FAMILIA': 1, 'CAMBIO': 3, 'VOS': 6}",54,79,319,0,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24052,,"{'UNE': 32, 'AZUL': 0, 'VALOR UNIONISTA': 38, 'CABAL': 32, 'TODOS': 0, 'VAMOS': 18, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 11}",51,86,312,0,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24053,,"{'UNE': 39, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 38, 'TODOS': 1, 'VAMOS': 28, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 8}",64,58,304,0,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24054,,"{'UNE': 47, 'AZUL': 6, 'VALOR UNIONISTA': 36, 'CABAL': 42, 'TODOS': 0, 'VAMOS': 22, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 4, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 3}",72,40,311,8,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24055,,"{'UNE': 46, 'AZUL': 4, 'VALOR UNIONISTA': 45, 'CABAL': 42, 'TODOS': 4, 'VAMOS': 16, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 3, 'VOS': 1}",56,65,324,1,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24056,,"{'UNE': 25, 'AZUL': 3, 'VALOR UNIONISTA': 29, 'CABAL': 33, 'TODOS': 0, 'VAMOS': 12, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 7}",40,62,259,0,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24057,,"{'UNE': 31, 'AZUL': 2, 'VALOR UNIONISTA': 37, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 3, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",41,55,275,0,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24058,,"{'UNE': 26, 'AZUL': 0, 'VALOR UNIONISTA': 39, 'CABAL': 46, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 2, 'VOS': 10}",35,56,272,0,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24059,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 36, 'CABAL': 24, 'TODOS': 0, 'VAMOS': 22, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 7}",25,68,281,2,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24060,,"{'UNE': 42, 'AZUL': 1, 'VALOR UNIONISTA': 33, 'CABAL': 41, 'TODOS': 0, 'VAMOS': 19, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 52, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",46,55,314,0,Algún campo sin dato,22.Jutiapa,8.Jerez,3770,presidente
24061,,"{'UNE': 33, 'AZUL': 4, 'VALOR UNIONISTA': 35, 'CABAL': 40, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 6, 'VOS': 7}",30,56,276,0,Algún campo sin dato,22.Jutiapa,8.Jerez,3771,presidente
