mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
24065,,"{'UNE': 25, 'AZUL': 6, 'VALOR UNIONISTA': 8, 'CABAL': 6, 'TODOS': 21, 'VAMOS': 13, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",75,49,238,0,Sumas Asentadas sin cuadrar,22.Jutiapa,9.El Adelanto,3773,presidente
24066,,"{'UNE': 31, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 8, 'TODOS': 13, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 8, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 14, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 5}",106,36,262,0,Algún campo sin dato,22.Jutiapa,9.El Adelanto,3773,presidente
24067,,"{'UNE': 60, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 4, 'TODOS': 17, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",98,38,269,0,Sumas Asentadas sin cuadrar,22.Jutiapa,9.El Adelanto,3773,presidente
24068,,"{'UNE': 75, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 4, 'TODOS': 14, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 1, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 4}",88,44,302,0,Algún campo sin dato,22.Jutiapa,9.El Adelanto,3773,presidente
24069,,"{'UNE': 67, 'AZUL': 1, 'VALOR UNIONISTA': 21, 'CABAL': 10, 'TODOS': 21, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",90,51,310,0,Algún campo sin dato,22.Jutiapa,9.El Adelanto,3773,presidente
24070,,"{'UNE': 88, 'AZUL': 3, 'VALOR UNIONISTA': 22, 'CABAL': 8, 'TODOS': 21, 'VAMOS': 19, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 10}",82,37,323,119,Sumas Asentadas sin cuadrar,22.Jutiapa,9.El Adelanto,3773,presidente
24071,,"{'UNE': 83, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 11, 'TODOS': 22, 'VAMOS': 18, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",93,56,335,0,Algún campo sin dato,22.Jutiapa,9.El Adelanto,3773,presidente
24072,,"{'UNE': 52, 'AZUL': 5, 'VALOR UNIONISTA': 12, 'CABAL': 11, 'TODOS': 13, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 4, 'BIEN': 2, 'VIVA': 22, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",72,49,273,0,Algún campo sin dato,22.Jutiapa,9.El Adelanto,3773,presidente
24073,,"{'UNE': 40, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 4, 'TODOS': 7, 'VAMOS': 15, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 3, 'VIVA': 7, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",58,48,221,0,Algún campo sin dato,22.Jutiapa,9.El Adelanto,3773,presidente
24074,,"{'UNE': 36, 'AZUL': 3, 'VALOR UNIONISTA': 18, 'CABAL': 6, 'TODOS': 11, 'VAMOS': 4, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",49,37,217,0,Sumas Asentadas sin cuadrar,22.Jutiapa,9.El Adelanto,3773,presidente
24075,,"{'UNE': 36, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 5, 'TODOS': 17, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",41,43,220,0,Algún campo sin dato,22.Jutiapa,9.El Adelanto,3773,presidente
24076,,"{'UNE': 79, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 6, 'TODOS': 6, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",82,43,268,0,Sumas Asentadas sin cuadrar,22.Jutiapa,9.El Adelanto,3773,presidente
24077,,"{'UNE': 83, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 6, 'TODOS': 13, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 7, 'VICTORIA': 0, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 1}",73,42,289,0,Sumas Asentadas sin cuadrar,22.Jutiapa,9.El Adelanto,3774,presidente
24078,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 4, 'TODOS': 14, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",35,54,243,0,Sumas Asentadas sin cuadrar,22.Jutiapa,9.El Adelanto,3774,presidente
24079,,"{'UNE': 52, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 5, 'TODOS': 9, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 3, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",43,31,189,0,Sumas Asentadas sin cuadrar,22.Jutiapa,9.El Adelanto,3774,presidente
24080,,"{'UNE': 45, 'AZUL': 3, 'VALOR UNIONISTA': 7, 'CABAL': 5, 'TODOS': 15, 'VAMOS': 9, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 2, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 6}",51,54,234,0,Sumas Asentadas sin cuadrar,22.Jutiapa,9.El Adelanto,3774,presidente
