mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
5888,,"{'UNE': 11, 'AZUL': 4, 'VALOR UNIONISTA': 29, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 48, 'FCN-NACION': 2, 'PPN': 0, 'UR': 8, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 7, 'VIVA': 36, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 21}",5,39,264,136,Algún campo sin dato,3.Chimaltenango,1.Chimaltenango,0619,presidente
5889,,"{'UNE': 15, 'AZUL': 5, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 1, 'VAMOS': 10, 'PHG': 1, 'PR': 3, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 44, 'FCN-NACION': 2, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 3, 'BIEN': 11, 'VIVA': 33, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 25}",1,27,238,0,Algún campo sin dato,3.Chimaltenango,1.Chimaltenango,0619,presidente
5890,,"{'UNE': 13, 'AZUL': 4, 'VALOR UNIONISTA': 19, 'CABAL': 15, 'TODOS': 5, 'VAMOS': 9, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 65, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 12, 'VIVA': 29, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 22}",3,28,243,0,Sumas Asentadas sin cuadrar,3.Chimaltenango,1.Chimaltenango,0619,presidente
5891,,"{'UNE': 16, 'AZUL': 4, 'VALOR UNIONISTA': 26, 'CABAL': 17, 'TODOS': 3, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 51, 'FCN-NACION': 0, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 7, 'VIVA': 26, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 22}",3,41,246,0,Algún campo sin dato,3.Chimaltenango,1.Chimaltenango,0619,presidente
5892,,"{'UNE': 6, 'AZUL': 3, 'VALOR UNIONISTA': 10, 'CABAL': 9, 'TODOS': 0, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 125, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 12, 'VIVA': 22, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 24}",1,29,260,0,Algún campo sin dato,3.Chimaltenango,1.Chimaltenango,0620,presidente
5893,,"{'UNE': 4, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 11, 'TODOS': 1, 'VAMOS': 3, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 121, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 11, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 30}",0,22,250,0,Algún campo sin dato,3.Chimaltenango,1.Chimaltenango,0620,presidente
5894,,"{'UNE': 2, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 6, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 14, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 13}",0,14,130,0,Algún campo sin dato,3.Chimaltenango,1.Chimaltenango,0620,presidente
5895,,"{'UNE': 4, 'AZUL': 5, 'VALOR UNIONISTA': 6, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 5, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 54, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 7, 'VIVA': 11, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 8}",1,13,128,0,Algún campo sin dato,3.Chimaltenango,1.Chimaltenango,0620,presidente
5896,,"{'UNE': 17, 'AZUL': 5, 'VALOR UNIONISTA': 13, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 44, 'FCN-NACION': 7, 'PPN': 3, 'UR': 9, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 7, 'VIVA': 50, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 16}",7,34,262,0,Algún campo sin dato,3.Chimaltenango,1.Chimaltenango,0621,presidente
5897,,"{'UNE': 13, 'AZUL': 3, 'VALOR UNIONISTA': 19, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 38, 'FCN-NACION': 2, 'PPN': 2, 'UR': 6, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 54, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 21}",2,46,262,0,Algún campo sin dato,3.Chimaltenango,1.Chimaltenango,0621,presidente
